Leading Cancer Sites,Leading Cancer Sites Code,Year,Sex,Sex Code,Race,Race Code,Count
Brain and Other Nervous System,31010-31040,2004,Female,F,Asian or Pacific Islander,A-PI,42.0
Brain and Other Nervous System,31010-31040,2004,Female,F,Black or African American,2054-5,117.0
Brain and Other Nervous System,31010-31040,2004,Female,F,White,2106-3,1018.0
Brain and Other Nervous System,31010-31040,2004,Male,M,Asian or Pacific Islander,A-PI,56.0
Brain and Other Nervous System,31010-31040,2004,Male,M,Black or African American,2054-5,112.0
Brain and Other Nervous System,31010-31040,2004,Male,M,White,2106-3,1297.0
Brain and Other Nervous System,31010-31040,2005,Female,F,Asian or Pacific Islander,A-PI,40.0
Brain and Other Nervous System,31010-31040,2005,Female,F,Black or African American,2054-5,104.0
Brain and Other Nervous System,31010-31040,2005,Female,F,White,2106-3,1029.0
Brain and Other Nervous System,31010-31040,2005,Male,M,Asian or Pacific Islander,A-PI,46.0
Brain and Other Nervous System,31010-31040,2005,Male,M,Black or African American,2054-5,119.0
Brain and Other Nervous System,31010-31040,2005,Male,M,White,2106-3,1346.0
Brain and Other Nervous System,31010-31040,2005,Male,M,Other Races and Unknown combined,2131-1,22.0
Brain and Other Nervous System,31010-31040,2006,Female,F,American Indian or Alaska Native,1002-5,20.0
Brain and Other Nervous System,31010-31040,2006,Female,F,Asian or Pacific Islander,A-PI,33.0
Brain and Other Nervous System,31010-31040,2006,Female,F,Black or African American,2054-5,114.0
Brain and Other Nervous System,31010-31040,2006,Female,F,White,2106-3,980.0
Brain and Other Nervous System,31010-31040,2006,Male,M,Asian or Pacific Islander,A-PI,49.0
Brain and Other Nervous System,31010-31040,2006,Male,M,Black or African American,2054-5,129.0
Brain and Other Nervous System,31010-31040,2006,Male,M,White,2106-3,1339.0
Brain and Other Nervous System,31010-31040,2006,Male,M,Other Races and Unknown combined,2131-1,31.0
Brain and Other Nervous System,31010-31040,2007,Female,F,Asian or Pacific Islander,A-PI,37.0
Brain and Other Nervous System,31010-31040,2007,Female,F,Black or African American,2054-5,116.0
Brain and Other Nervous System,31010-31040,2007,Female,F,White,2106-3,983.0
Brain and Other Nervous System,31010-31040,2007,Male,M,American Indian or Alaska Native,1002-5,16.0
Brain and Other Nervous System,31010-31040,2007,Male,M,Asian or Pacific Islander,A-PI,57.0
Brain and Other Nervous System,31010-31040,2007,Male,M,Black or African American,2054-5,120.0
Brain and Other Nervous System,31010-31040,2007,Male,M,White,2106-3,1365.0
Brain and Other Nervous System,31010-31040,2007,Male,M,Other Races and Unknown combined,2131-1,20.0
Brain and Other Nervous System,31010-31040,2008,Female,F,American Indian or Alaska Native,1002-5,18.0
Brain and Other Nervous System,31010-31040,2008,Female,F,Asian or Pacific Islander,A-PI,61.0
Brain and Other Nervous System,31010-31040,2008,Female,F,Black or African American,2054-5,104.0
Brain and Other Nervous System,31010-31040,2008,Female,F,White,2106-3,1004.0
Brain and Other Nervous System,31010-31040,2008,Male,M,Asian or Pacific Islander,A-PI,69.0
Brain and Other Nervous System,31010-31040,2008,Male,M,Black or African American,2054-5,104.0
Brain and Other Nervous System,31010-31040,2008,Male,M,White,2106-3,1326.0
Brain and Other Nervous System,31010-31040,2008,Male,M,Other Races and Unknown combined,2131-1,21.0
Brain and Other Nervous System,31010-31040,2009,Female,F,Asian or Pacific Islander,A-PI,40.0
Brain and Other Nervous System,31010-31040,2009,Female,F,Black or African American,2054-5,115.0
Brain and Other Nervous System,31010-31040,2009,Female,F,White,2106-3,1045.0
Brain and Other Nervous System,31010-31040,2009,Male,M,American Indian or Alaska Native,1002-5,16.0
Brain and Other Nervous System,31010-31040,2009,Male,M,Asian or Pacific Islander,A-PI,71.0
Brain and Other Nervous System,31010-31040,2009,Male,M,Black or African American,2054-5,117.0
Brain and Other Nervous System,31010-31040,2009,Male,M,White,2106-3,1326.0
Brain and Other Nervous System,31010-31040,2009,Male,M,Other Races and Unknown combined,2131-1,19.0
Brain and Other Nervous System,31010-31040,2010,Female,F,Asian or Pacific Islander,A-PI,57.0
Brain and Other Nervous System,31010-31040,2010,Female,F,Black or African American,2054-5,117.0
Brain and Other Nervous System,31010-31040,2010,Female,F,White,2106-3,941.0
Brain and Other Nervous System,31010-31040,2010,Female,F,Other Races and Unknown combined,2131-1,17.0
Brain and Other Nervous System,31010-31040,2010,Male,M,Asian or Pacific Islander,A-PI,79.0
Brain and Other Nervous System,31010-31040,2010,Male,M,Black or African American,2054-5,119.0
Brain and Other Nervous System,31010-31040,2010,Male,M,White,2106-3,1359.0
Brain and Other Nervous System,31010-31040,2010,Male,M,Other Races and Unknown combined,2131-1,16.0
Brain and Other Nervous System,31010-31040,2011,Female,F,Asian or Pacific Islander,A-PI,66.0
Brain and Other Nervous System,31010-31040,2011,Female,F,Black or African American,2054-5,107.0
Brain and Other Nervous System,31010-31040,2011,Female,F,White,2106-3,948.0
Brain and Other Nervous System,31010-31040,2011,Male,M,Asian or Pacific Islander,A-PI,50.0
Brain and Other Nervous System,31010-31040,2011,Male,M,Black or African American,2054-5,126.0
Brain and Other Nervous System,31010-31040,2011,Male,M,White,2106-3,1354.0
Brain and Other Nervous System,31010-31040,2011,Male,M,Other Races and Unknown combined,2131-1,19.0
Brain and Other Nervous System,31010-31040,2012,Female,F,Asian or Pacific Islander,A-PI,47.0
Brain and Other Nervous System,31010-31040,2012,Female,F,Black or African American,2054-5,115.0
Brain and Other Nervous System,31010-31040,2012,Female,F,White,2106-3,1043.0
Brain and Other Nervous System,31010-31040,2012,Female,F,Other Races and Unknown combined,2131-1,19.0
Brain and Other Nervous System,31010-31040,2012,Male,M,American Indian or Alaska Native,1002-5,19.0
Brain and Other Nervous System,31010-31040,2012,Male,M,Asian or Pacific Islander,A-PI,67.0
Brain and Other Nervous System,31010-31040,2012,Male,M,Black or African American,2054-5,127.0
Brain and Other Nervous System,31010-31040,2012,Male,M,White,2106-3,1275.0
Brain and Other Nervous System,31010-31040,2012,Male,M,Other Races and Unknown combined,2131-1,24.0
Brain and Other Nervous System,31010-31040,2013,Female,F,Asian or Pacific Islander,A-PI,48.0
Brain and Other Nervous System,31010-31040,2013,Female,F,Black or African American,2054-5,109.0
Brain and Other Nervous System,31010-31040,2013,Female,F,White,2106-3,1020.0
Brain and Other Nervous System,31010-31040,2013,Female,F,Other Races and Unknown combined,2131-1,20.0
Brain and Other Nervous System,31010-31040,2013,Male,M,Asian or Pacific Islander,A-PI,75.0
Brain and Other Nervous System,31010-31040,2013,Male,M,Black or African American,2054-5,123.0
Brain and Other Nervous System,31010-31040,2013,Male,M,White,2106-3,1255.0
Brain and Other Nervous System,31010-31040,2013,Male,M,Other Races and Unknown combined,2131-1,24.0
Brain and Other Nervous System,31010-31040,2014,Female,F,Asian or Pacific Islander,A-PI,59.0
Brain and Other Nervous System,31010-31040,2014,Female,F,Black or African American,2054-5,131.0
Brain and Other Nervous System,31010-31040,2014,Female,F,White,2106-3,996.0
Brain and Other Nervous System,31010-31040,2014,Female,F,Other Races and Unknown combined,2131-1,17.0
Brain and Other Nervous System,31010-31040,2014,Male,M,Asian or Pacific Islander,A-PI,59.0
Brain and Other Nervous System,31010-31040,2014,Male,M,Black or African American,2054-5,150.0
Brain and Other Nervous System,31010-31040,2014,Male,M,White,2106-3,1347.0
Brain and Other Nervous System,31010-31040,2014,Male,M,Other Races and Unknown combined,2131-1,28.0
Brain and Other Nervous System,31010-31040,2015,Female,F,Asian or Pacific Islander,A-PI,68.0
Brain and Other Nervous System,31010-31040,2015,Female,F,Black or African American,2054-5,113.0
Brain and Other Nervous System,31010-31040,2015,Female,F,White,2106-3,1049.0
Brain and Other Nervous System,31010-31040,2015,Female,F,Other Races and Unknown combined,2131-1,20.0
Brain and Other Nervous System,31010-31040,2015,Male,M,Asian or Pacific Islander,A-PI,75.0
Brain and Other Nervous System,31010-31040,2015,Male,M,Black or African American,2054-5,131.0
Brain and Other Nervous System,31010-31040,2015,Male,M,White,2106-3,1273.0
Brain and Other Nervous System,31010-31040,2015,Male,M,Other Races and Unknown combined,2131-1,22.0
Brain and Other Nervous System,31010-31040,2016,Female,F,Asian or Pacific Islander,A-PI,46.0
Brain and Other Nervous System,31010-31040,2016,Female,F,Black or African American,2054-5,117.0
Brain and Other Nervous System,31010-31040,2016,Female,F,White,2106-3,967.0
Brain and Other Nervous System,31010-31040,2016,Female,F,Other Races and Unknown combined,2131-1,22.0
Brain and Other Nervous System,31010-31040,2016,Male,M,Asian or Pacific Islander,A-PI,87.0
Brain and Other Nervous System,31010-31040,2016,Male,M,Black or African American,2054-5,146.0
Brain and Other Nervous System,31010-31040,2016,Male,M,White,2106-3,1368.0
Brain and Other Nervous System,31010-31040,2016,Male,M,Other Races and Unknown combined,2131-1,31.0
Brain and Other Nervous System,31010-31040,2017,Female,F,American Indian or Alaska Native,1002-5,19.0
Brain and Other Nervous System,31010-31040,2017,Female,F,Asian or Pacific Islander,A-PI,54.0
Brain and Other Nervous System,31010-31040,2017,Female,F,Black or African American,2054-5,128.0
Brain and Other Nervous System,31010-31040,2017,Female,F,White,2106-3,1009.0
Brain and Other Nervous System,31010-31040,2017,Female,F,Other Races and Unknown combined,2131-1,18.0
Brain and Other Nervous System,31010-31040,2017,Male,M,Asian or Pacific Islander,A-PI,83.0
Brain and Other Nervous System,31010-31040,2017,Male,M,Black or African American,2054-5,141.0
Brain and Other Nervous System,31010-31040,2017,Male,M,White,2106-3,1292.0
Brain and Other Nervous System,31010-31040,2017,Male,M,Other Races and Unknown combined,2131-1,35.0
Brain and Other Nervous System,31010-31040,2018,Female,F,Asian or Pacific Islander,A-PI,49.0
Brain and Other Nervous System,31010-31040,2018,Female,F,Black or African American,2054-5,116.0
Brain and Other Nervous System,31010-31040,2018,Female,F,White,2106-3,1009.0
Brain and Other Nervous System,31010-31040,2018,Female,F,Other Races and Unknown combined,2131-1,27.0
Brain and Other Nervous System,31010-31040,2018,Male,M,Asian or Pacific Islander,A-PI,63.0
Brain and Other Nervous System,31010-31040,2018,Male,M,Black or African American,2054-5,149.0
Brain and Other Nervous System,31010-31040,2018,Male,M,White,2106-3,1333.0
Brain and Other Nervous System,31010-31040,2018,Male,M,Other Races and Unknown combined,2131-1,37.0
Brain and Other Nervous System,31010-31040,2019,Female,F,Asian or Pacific Islander,A-PI,58.0
Brain and Other Nervous System,31010-31040,2019,Female,F,Black or African American,2054-5,109.0
Brain and Other Nervous System,31010-31040,2019,Female,F,White,2106-3,968.0
Brain and Other Nervous System,31010-31040,2019,Female,F,Other Races and Unknown combined,2131-1,34.0
Brain and Other Nervous System,31010-31040,2019,Male,M,Asian or Pacific Islander,A-PI,79.0
Brain and Other Nervous System,31010-31040,2019,Male,M,Black or African American,2054-5,128.0
Brain and Other Nervous System,31010-31040,2019,Male,M,White,2106-3,1368.0
Brain and Other Nervous System,31010-31040,2019,Male,M,Other Races and Unknown combined,2131-1,48.0
Brain and Other Nervous System,31010-31040,2020,Female,F,Asian or Pacific Islander,A-PI,73.0
Brain and Other Nervous System,31010-31040,2020,Female,F,Black or African American,2054-5,118.0
Brain and Other Nervous System,31010-31040,2020,Female,F,White,2106-3,867.0
Brain and Other Nervous System,31010-31040,2020,Female,F,Other Races and Unknown combined,2131-1,25.0
Brain and Other Nervous System,31010-31040,2020,Male,M,Asian or Pacific Islander,A-PI,86.0
Brain and Other Nervous System,31010-31040,2020,Male,M,Black or African American,2054-5,115.0
Brain and Other Nervous System,31010-31040,2020,Male,M,White,2106-3,1249.0
Brain and Other Nervous System,31010-31040,2020,Male,M,Other Races and Unknown combined,2131-1,28.0
Brain and Other Nervous System,31010-31040,2021,Female,F,Asian or Pacific Islander,A-PI,57.0
Brain and Other Nervous System,31010-31040,2021,Female,F,Black or African American,2054-5,108.0
Brain and Other Nervous System,31010-31040,2021,Female,F,White,2106-3,902.0
Brain and Other Nervous System,31010-31040,2021,Female,F,Other Races and Unknown combined,2131-1,31.0
Brain and Other Nervous System,31010-31040,2021,Male,M,American Indian or Alaska Native,1002-5,21.0
Brain and Other Nervous System,31010-31040,2021,Male,M,Asian or Pacific Islander,A-PI,68.0
Brain and Other Nervous System,31010-31040,2021,Male,M,Black or African American,2054-5,145.0
Brain and Other Nervous System,31010-31040,2021,Male,M,White,2106-3,1186.0
Brain and Other Nervous System,31010-31040,2021,Male,M,Other Races and Unknown combined,2131-1,53.0
Breast,26000,1999,Female,F,American Indian or Alaska Native,1002-5,73.0
Breast,26000,1999,Female,F,Asian or Pacific Islander,A-PI,415.0
Breast,26000,1999,Female,F,Black or African American,2054-5,1736.0
Breast,26000,1999,Female,F,White,2106-3,8437.0
Breast,26000,1999,Female,F,Other Races and Unknown combined,2131-1,89.0
Breast,26000,1999,Male,M,White,2106-3,30.0
Breast,26000,2000,Female,F,American Indian or Alaska Native,1002-5,61.0
Breast,26000,2000,Female,F,Asian or Pacific Islander,A-PI,424.0
Breast,26000,2000,Female,F,Black or African American,2054-5,1781.0
Breast,26000,2000,Female,F,White,2106-3,8198.0
Breast,26000,2000,Female,F,Other Races and Unknown combined,2131-1,84.0
Breast,26000,2000,Male,M,White,2106-3,28.0
Breast,26000,2001,Female,F,American Indian or Alaska Native,1002-5,74.0
Breast,26000,2001,Female,F,Asian or Pacific Islander,A-PI,513.0
Breast,26000,2001,Female,F,Black or African American,2054-5,1702.0
Breast,26000,2001,Female,F,White,2106-3,8323.0
Breast,26000,2001,Female,F,Other Races and Unknown combined,2131-1,67.0
Breast,26000,2001,Male,M,White,2106-3,23.0
Breast,26000,2002,Female,F,American Indian or Alaska Native,1002-5,65.0
Breast,26000,2002,Female,F,Asian or Pacific Islander,A-PI,479.0
Breast,26000,2002,Female,F,Black or African American,2054-5,1737.0
Breast,26000,2002,Female,F,White,2106-3,7850.0
Breast,26000,2002,Female,F,Other Races and Unknown combined,2131-1,80.0
Breast,26000,2002,Male,M,White,2106-3,21.0
Breast,26000,2003,Female,F,American Indian or Alaska Native,1002-5,74.0
Breast,26000,2003,Female,F,Asian or Pacific Islander,A-PI,498.0
Breast,26000,2003,Female,F,Black or African American,2054-5,1723.0
Breast,26000,2003,Female,F,White,2106-3,7977.0
Breast,26000,2003,Female,F,Other Races and Unknown combined,2131-1,98.0
Breast,26000,2003,Male,M,White,2106-3,26.0
Breast,26000,2004,Female,F,American Indian or Alaska Native,1002-5,81.0
Breast,26000,2004,Female,F,Asian or Pacific Islander,A-PI,529.0
Breast,26000,2004,Female,F,Black or African American,2054-5,1776.0
Breast,26000,2004,Female,F,White,2106-3,7858.0
Breast,26000,2004,Female,F,Other Races and Unknown combined,2131-1,82.0
Breast,26000,2004,Male,M,White,2106-3,19.0
Breast,26000,2005,Female,F,American Indian or Alaska Native,1002-5,74.0
Breast,26000,2005,Female,F,Asian or Pacific Islander,A-PI,557.0
Breast,26000,2005,Female,F,Black or African American,2054-5,1756.0
Breast,26000,2005,Female,F,White,2106-3,7666.0
Breast,26000,2005,Female,F,Other Races and Unknown combined,2131-1,96.0
Breast,26000,2005,Male,M,White,2106-3,24.0
Breast,26000,2006,Female,F,American Indian or Alaska Native,1002-5,63.0
Breast,26000,2006,Female,F,Asian or Pacific Islander,A-PI,606.0
Breast,26000,2006,Female,F,Black or African American,2054-5,1741.0
Breast,26000,2006,Female,F,White,2106-3,7586.0
Breast,26000,2006,Female,F,Other Races and Unknown combined,2131-1,100.0
Breast,26000,2006,Male,M,White,2106-3,22.0
Breast,26000,2007,Female,F,American Indian or Alaska Native,1002-5,77.0
Breast,26000,2007,Female,F,Asian or Pacific Islander,A-PI,557.0
Breast,26000,2007,Female,F,Black or African American,2054-5,1735.0
Breast,26000,2007,Female,F,White,2106-3,7630.0
Breast,26000,2007,Female,F,Other Races and Unknown combined,2131-1,119.0
Breast,26000,2007,Male,M,White,2106-3,20.0
Breast,26000,2008,Female,F,American Indian or Alaska Native,1002-5,67.0
Breast,26000,2008,Female,F,Asian or Pacific Islander,A-PI,656.0
Breast,26000,2008,Female,F,Black or African American,2054-5,1813.0
Breast,26000,2008,Female,F,White,2106-3,7752.0
Breast,26000,2008,Female,F,Other Races and Unknown combined,2131-1,110.0
Breast,26000,2008,Male,M,White,2106-3,32.0
Breast,26000,2009,Female,F,American Indian or Alaska Native,1002-5,66.0
Breast,26000,2009,Female,F,Asian or Pacific Islander,A-PI,650.0
Breast,26000,2009,Female,F,Black or African American,2054-5,1848.0
Breast,26000,2009,Female,F,White,2106-3,7650.0
Breast,26000,2009,Female,F,Other Races and Unknown combined,2131-1,87.0
Breast,26000,2009,Male,M,White,2106-3,19.0
Breast,26000,2010,Female,F,American Indian or Alaska Native,1002-5,84.0
Breast,26000,2010,Female,F,Asian or Pacific Islander,A-PI,666.0
Breast,26000,2010,Female,F,Black or African American,2054-5,1780.0
Breast,26000,2010,Female,F,White,2106-3,7303.0
Breast,26000,2010,Female,F,Other Races and Unknown combined,2131-1,105.0
Breast,26000,2010,Male,M,White,2106-3,24.0
Breast,26000,2011,Female,F,American Indian or Alaska Native,1002-5,81.0
Breast,26000,2011,Female,F,Asian or Pacific Islander,A-PI,730.0
Breast,26000,2011,Female,F,Black or African American,2054-5,1769.0
Breast,26000,2011,Female,F,White,2106-3,7391.0
Breast,26000,2011,Female,F,Other Races and Unknown combined,2131-1,99.0
Breast,26000,2011,Male,M,White,2106-3,25.0
Breast,26000,2012,Female,F,American Indian or Alaska Native,1002-5,75.0
Breast,26000,2012,Female,F,Asian or Pacific Islander,A-PI,716.0
Breast,26000,2012,Female,F,Black or African American,2054-5,1783.0
Breast,26000,2012,Female,F,White,2106-3,7466.0
Breast,26000,2012,Female,F,Other Races and Unknown combined,2131-1,138.0
Breast,26000,2012,Male,M,White,2106-3,22.0
Breast,26000,2013,Female,F,American Indian or Alaska Native,1002-5,91.0
Breast,26000,2013,Female,F,Asian or Pacific Islander,A-PI,768.0
Breast,26000,2013,Female,F,Black or African American,2054-5,1842.0
Breast,26000,2013,Female,F,White,2106-3,7716.0
Breast,26000,2013,Female,F,Other Races and Unknown combined,2131-1,140.0
Breast,26000,2013,Male,M,White,2106-3,25.0
Breast,26000,2014,Female,F,American Indian or Alaska Native,1002-5,96.0
Breast,26000,2014,Female,F,Asian or Pacific Islander,A-PI,763.0
Breast,26000,2014,Female,F,Black or African American,2054-5,1837.0
Breast,26000,2014,Female,F,White,2106-3,7809.0
Breast,26000,2014,Female,F,Other Races and Unknown combined,2131-1,143.0
Breast,26000,2014,Male,M,Black or African American,2054-5,16.0
Breast,26000,2014,Male,M,White,2106-3,38.0
Breast,26000,2015,Female,F,American Indian or Alaska Native,1002-5,98.0
Breast,26000,2015,Female,F,Asian or Pacific Islander,A-PI,799.0
Breast,26000,2015,Female,F,Black or African American,2054-5,1892.0
Breast,26000,2015,Female,F,White,2106-3,8056.0
Breast,26000,2015,Female,F,Other Races and Unknown combined,2131-1,163.0
Breast,26000,2015,Male,M,White,2106-3,27.0
Breast,26000,2016,Female,F,American Indian or Alaska Native,1002-5,94.0
Breast,26000,2016,Female,F,Asian or Pacific Islander,A-PI,826.0
Breast,26000,2016,Female,F,Black or African American,2054-5,2063.0
Breast,26000,2016,Female,F,White,2106-3,8282.0
Breast,26000,2016,Female,F,Other Races and Unknown combined,2131-1,188.0
Breast,26000,2016,Male,M,White,2106-3,27.0
Breast,26000,2017,Female,F,American Indian or Alaska Native,1002-5,112.0
Breast,26000,2017,Female,F,Asian or Pacific Islander,A-PI,811.0
Breast,26000,2017,Female,F,Black or African American,2054-5,1957.0
Breast,26000,2017,Female,F,White,2106-3,8315.0
Breast,26000,2017,Female,F,Other Races and Unknown combined,2131-1,195.0
Breast,26000,2017,Male,M,White,2106-3,21.0
Breast,26000,2018,Female,F,American Indian or Alaska Native,1002-5,88.0
Breast,26000,2018,Female,F,Asian or Pacific Islander,A-PI,876.0
Breast,26000,2018,Female,F,Black or African American,2054-5,1977.0
Breast,26000,2018,Female,F,White,2106-3,8511.0
Breast,26000,2018,Female,F,Other Races and Unknown combined,2131-1,196.0
Breast,26000,2018,Male,M,White,2106-3,25.0
Breast,26000,2019,Female,F,American Indian or Alaska Native,1002-5,104.0
Breast,26000,2019,Female,F,Asian or Pacific Islander,A-PI,900.0
Breast,26000,2019,Female,F,Black or African American,2054-5,2107.0
Breast,26000,2019,Female,F,White,2106-3,8733.0
Breast,26000,2019,Female,F,Other Races and Unknown combined,2131-1,242.0
Breast,26000,2019,Male,M,White,2106-3,35.0
Breast,26000,2020,Female,F,American Indian or Alaska Native,1002-5,88.0
Breast,26000,2020,Female,F,Asian or Pacific Islander,A-PI,880.0
Breast,26000,2020,Female,F,Black or African American,2054-5,2061.0
Breast,26000,2020,Female,F,White,2106-3,8340.0
Breast,26000,2020,Female,F,Other Races and Unknown combined,2131-1,299.0
Breast,26000,2020,Male,M,White,2106-3,39.0
Breast,26000,2021,Female,F,American Indian or Alaska Native,1002-5,117.0
Breast,26000,2021,Female,F,Asian or Pacific Islander,A-PI,1018.0
Breast,26000,2021,Female,F,Black or African American,2054-5,2049.0
Breast,26000,2021,Female,F,White,2106-3,8560.0
Breast,26000,2021,Female,F,Other Races and Unknown combined,2131-1,322.0
Breast,26000,2021,Male,M,White,2106-3,45.0
Cervix Uteri,27010,1999,Female,F,American Indian or Alaska Native,1002-5,43.0
Cervix Uteri,27010,1999,Female,F,Asian or Pacific Islander,A-PI,81.0
Cervix Uteri,27010,1999,Female,F,Black or African American,2054-5,530.0
Cervix Uteri,27010,1999,Female,F,White,2106-3,3190.0
Cervix Uteri,27010,1999,Female,F,Other Races and Unknown combined,2131-1,62.0
Cervix Uteri,27010,2000,Female,F,American Indian or Alaska Native,1002-5,29.0
Cervix Uteri,27010,2000,Female,F,Asian or Pacific Islander,A-PI,67.0
Cervix Uteri,27010,2000,Female,F,Black or African American,2054-5,506.0
Cervix Uteri,27010,2000,Female,F,White,2106-3,3126.0
Cervix Uteri,27010,2000,Female,F,Other Races and Unknown combined,2131-1,64.0
Cervix Uteri,27010,2001,Female,F,American Indian or Alaska Native,1002-5,42.0
Cervix Uteri,27010,2001,Female,F,Asian or Pacific Islander,A-PI,101.0
Cervix Uteri,27010,2001,Female,F,Black or African American,2054-5,447.0
Cervix Uteri,27010,2001,Female,F,White,2106-3,2984.0
Cervix Uteri,27010,2001,Female,F,Other Races and Unknown combined,2131-1,58.0
Cervix Uteri,27010,2002,Female,F,American Indian or Alaska Native,1002-5,35.0
Cervix Uteri,27010,2002,Female,F,Asian or Pacific Islander,A-PI,78.0
Cervix Uteri,27010,2002,Female,F,Black or African American,2054-5,468.0
Cervix Uteri,27010,2002,Female,F,White,2106-3,2859.0
Cervix Uteri,27010,2002,Female,F,Other Races and Unknown combined,2131-1,57.0
Cervix Uteri,27010,2003,Female,F,American Indian or Alaska Native,1002-5,27.0
Cervix Uteri,27010,2003,Female,F,Asian or Pacific Islander,A-PI,102.0
Cervix Uteri,27010,2003,Female,F,Black or African American,2054-5,489.0
Cervix Uteri,27010,2003,Female,F,White,2106-3,2752.0
Cervix Uteri,27010,2003,Female,F,Other Races and Unknown combined,2131-1,73.0
Cervix Uteri,27010,2004,Female,F,American Indian or Alaska Native,1002-5,36.0
Cervix Uteri,27010,2004,Female,F,Asian or Pacific Islander,A-PI,89.0
Cervix Uteri,27010,2004,Female,F,Black or African American,2054-5,458.0
Cervix Uteri,27010,2004,Female,F,White,2106-3,2723.0
Cervix Uteri,27010,2004,Female,F,Other Races and Unknown combined,2131-1,48.0
Cervix Uteri,27010,2005,Female,F,American Indian or Alaska Native,1002-5,33.0
Cervix Uteri,27010,2005,Female,F,Asian or Pacific Islander,A-PI,94.0
Cervix Uteri,27010,2005,Female,F,Black or African American,2054-5,416.0
Cervix Uteri,27010,2005,Female,F,White,2106-3,2767.0
Cervix Uteri,27010,2005,Female,F,Other Races and Unknown combined,2131-1,66.0
Cervix Uteri,27010,2006,Female,F,American Indian or Alaska Native,1002-5,43.0
Cervix Uteri,27010,2006,Female,F,Asian or Pacific Islander,A-PI,110.0
Cervix Uteri,27010,2006,Female,F,Black or African American,2054-5,398.0
Cervix Uteri,27010,2006,Female,F,White,2106-3,2694.0
Cervix Uteri,27010,2006,Female,F,Other Races and Unknown combined,2131-1,65.0
Cervix Uteri,27010,2007,Female,F,American Indian or Alaska Native,1002-5,34.0
Cervix Uteri,27010,2007,Female,F,Asian or Pacific Islander,A-PI,99.0
Cervix Uteri,27010,2007,Female,F,Black or African American,2054-5,420.0
Cervix Uteri,27010,2007,Female,F,White,2106-3,2652.0
Cervix Uteri,27010,2007,Female,F,Other Races and Unknown combined,2131-1,62.0
