Leading Cancer Sites,Leading Cancer Sites Code,Year,Age Groups,Age Group Code,Sex,Sex Code,Race,Race Code,Deaths
Brain and Other Nervous System,31010-31040,2007,35-39 years,35-39,Male,M,White,2106-3,190.0
Brain and Other Nervous System,31010-31040,2008,20-24 years,20-24,Female,F,White,2106-3,39.0
Brain and Other Nervous System,31010-31040,2008,20-24 years,20-24,Male,M,White,2106-3,56.0
Brain and Other Nervous System,31010-31040,2008,25-29 years,25-29,Female,F,White,2106-3,50.0
Brain and Other Nervous System,31010-31040,2008,25-29 years,25-29,Male,M,White,2106-3,94.0
Brain and Other Nervous System,31010-31040,2008,30-34 years,30-34,Female,F,White,2106-3,54.0
Brain and Other Nervous System,31010-31040,2008,30-34 years,30-34,Male,M,White,2106-3,117.0
Brain and Other Nervous System,31010-31040,2008,35-39 years,35-39,Female,F,Black or African American,2054-5,16.0
Brain and Other Nervous System,31010-31040,2008,35-39 years,35-39,Female,F,White,2106-3,106.0
Brain and Other Nervous System,31010-31040,2008,35-39 years,35-39,Male,M,White,2106-3,176.0
Brain and Other Nervous System,31010-31040,2009,20-24 years,20-24,Female,F,White,2106-3,36.0
Brain and Other Nervous System,31010-31040,2009,20-24 years,20-24,Male,M,White,2106-3,66.0
Brain and Other Nervous System,31010-31040,2009,25-29 years,25-29,Female,F,White,2106-3,56.0
Brain and Other Nervous System,31010-31040,2009,25-29 years,25-29,Male,M,White,2106-3,96.0
Brain and Other Nervous System,31010-31040,2009,30-34 years,30-34,Female,F,White,2106-3,86.0
Brain and Other Nervous System,31010-31040,2009,30-34 years,30-34,Male,M,White,2106-3,132.0
Brain and Other Nervous System,31010-31040,2009,35-39 years,35-39,Female,F,White,2106-3,107.0
Brain and Other Nervous System,31010-31040,2009,35-39 years,35-39,Male,M,White,2106-3,199.0
Brain and Other Nervous System,31010-31040,2010,20-24 years,20-24,Female,F,White,2106-3,38.0
Brain and Other Nervous System,31010-31040,2010,20-24 years,20-24,Male,M,White,2106-3,61.0
Brain and Other Nervous System,31010-31040,2010,25-29 years,25-29,Female,F,White,2106-3,37.0
Brain and Other Nervous System,31010-31040,2010,25-29 years,25-29,Male,M,White,2106-3,82.0
Brain and Other Nervous System,31010-31040,2010,30-34 years,30-34,Female,F,White,2106-3,71.0
Brain and Other Nervous System,31010-31040,2010,30-34 years,30-34,Male,M,White,2106-3,113.0
Brain and Other Nervous System,31010-31040,2010,35-39 years,35-39,Female,F,White,2106-3,104.0
Brain and Other Nervous System,31010-31040,2010,35-39 years,35-39,Male,M,White,2106-3,175.0
Brain and Other Nervous System,31010-31040,2011,20-24 years,20-24,Female,F,White,2106-3,36.0
Brain and Other Nervous System,31010-31040,2011,20-24 years,20-24,Male,M,White,2106-3,62.0
Brain and Other Nervous System,31010-31040,2011,25-29 years,25-29,Female,F,White,2106-3,54.0
Brain and Other Nervous System,31010-31040,2011,25-29 years,25-29,Male,M,White,2106-3,68.0
Brain and Other Nervous System,31010-31040,2011,30-34 years,30-34,Female,F,White,2106-3,70.0
Brain and Other Nervous System,31010-31040,2011,30-34 years,30-34,Male,M,White,2106-3,126.0
Brain and Other Nervous System,31010-31040,2011,35-39 years,35-39,Female,F,White,2106-3,90.0
Brain and Other Nervous System,31010-31040,2011,35-39 years,35-39,Male,M,White,2106-3,168.0
Brain and Other Nervous System,31010-31040,2012,20-24 years,20-24,Female,F,White,2106-3,55.0
Brain and Other Nervous System,31010-31040,2012,20-24 years,20-24,Male,M,White,2106-3,55.0
Brain and Other Nervous System,31010-31040,2012,25-29 years,25-29,Female,F,White,2106-3,54.0
Brain and Other Nervous System,31010-31040,2012,25-29 years,25-29,Male,M,White,2106-3,102.0
Brain and Other Nervous System,31010-31040,2012,30-34 years,30-34,Female,F,White,2106-3,69.0
Brain and Other Nervous System,31010-31040,2012,30-34 years,30-34,Male,M,White,2106-3,136.0
Brain and Other Nervous System,31010-31040,2012,35-39 years,35-39,Female,F,White,2106-3,108.0
Brain and Other Nervous System,31010-31040,2012,35-39 years,35-39,Male,M,Black or African American,2054-5,20.0
Brain and Other Nervous System,31010-31040,2012,35-39 years,35-39,Male,M,White,2106-3,178.0
Brain and Other Nervous System,31010-31040,2013,20-24 years,20-24,Female,F,White,2106-3,50.0
Brain and Other Nervous System,31010-31040,2013,20-24 years,20-24,Male,M,White,2106-3,52.0
Brain and Other Nervous System,31010-31040,2013,25-29 years,25-29,Female,F,White,2106-3,56.0
Brain and Other Nervous System,31010-31040,2013,25-29 years,25-29,Male,M,White,2106-3,98.0
Brain and Other Nervous System,31010-31040,2013,30-34 years,30-34,Female,F,White,2106-3,79.0
Brain and Other Nervous System,31010-31040,2013,30-34 years,30-34,Male,M,White,2106-3,135.0
Brain and Other Nervous System,31010-31040,2013,35-39 years,35-39,Female,F,White,2106-3,117.0
Brain and Other Nervous System,31010-31040,2013,35-39 years,35-39,Male,M,White,2106-3,167.0
Brain and Other Nervous System,31010-31040,2014,20-24 years,20-24,Female,F,White,2106-3,38.0
Brain and Other Nervous System,31010-31040,2014,20-24 years,20-24,Male,M,White,2106-3,49.0
Brain and Other Nervous System,31010-31040,2014,25-29 years,25-29,Female,F,White,2106-3,37.0
Brain and Other Nervous System,31010-31040,2014,25-29 years,25-29,Male,M,White,2106-3,91.0
Brain and Other Nervous System,31010-31040,2014,30-34 years,30-34,Female,F,White,2106-3,73.0
Brain and Other Nervous System,31010-31040,2014,30-34 years,30-34,Male,M,White,2106-3,151.0
Brain and Other Nervous System,31010-31040,2014,35-39 years,35-39,Female,F,White,2106-3,106.0
Brain and Other Nervous System,31010-31040,2014,35-39 years,35-39,Male,M,Black or African American,2054-5,19.0
Brain and Other Nervous System,31010-31040,2014,35-39 years,35-39,Male,M,White,2106-3,171.0
Brain and Other Nervous System,31010-31040,2015,20-24 years,20-24,Female,F,White,2106-3,44.0
Brain and Other Nervous System,31010-31040,2015,20-24 years,20-24,Male,M,White,2106-3,66.0
Brain and Other Nervous System,31010-31040,2015,25-29 years,25-29,Female,F,White,2106-3,47.0
Brain and Other Nervous System,31010-31040,2015,25-29 years,25-29,Male,M,White,2106-3,80.0
Brain and Other Nervous System,31010-31040,2015,30-34 years,30-34,Female,F,White,2106-3,85.0
Brain and Other Nervous System,31010-31040,2015,30-34 years,30-34,Male,M,White,2106-3,131.0
Brain and Other Nervous System,31010-31040,2015,35-39 years,35-39,Female,F,White,2106-3,119.0
Brain and Other Nervous System,31010-31040,2015,35-39 years,35-39,Male,M,White,2106-3,204.0
Brain and Other Nervous System,31010-31040,2016,20-24 years,20-24,Female,F,White,2106-3,35.0
Brain and Other Nervous System,31010-31040,2016,20-24 years,20-24,Male,M,White,2106-3,78.0
Brain and Other Nervous System,31010-31040,2016,25-29 years,25-29,Female,F,White,2106-3,54.0
Brain and Other Nervous System,31010-31040,2016,25-29 years,25-29,Male,M,White,2106-3,70.0
Brain and Other Nervous System,31010-31040,2016,30-34 years,30-34,Female,F,White,2106-3,95.0
Brain and Other Nervous System,31010-31040,2016,30-34 years,30-34,Male,M,White,2106-3,133.0
Brain and Other Nervous System,31010-31040,2016,35-39 years,35-39,Female,F,White,2106-3,134.0
Brain and Other Nervous System,31010-31040,2016,35-39 years,35-39,Male,M,White,2106-3,185.0
Brain and Other Nervous System,31010-31040,2017,20-24 years,20-24,Female,F,White,2106-3,44.0
Brain and Other Nervous System,31010-31040,2017,20-24 years,20-24,Male,M,White,2106-3,66.0
Brain and Other Nervous System,31010-31040,2017,25-29 years,25-29,Female,F,White,2106-3,49.0
Brain and Other Nervous System,31010-31040,2017,25-29 years,25-29,Male,M,White,2106-3,74.0
Brain and Other Nervous System,31010-31040,2017,30-34 years,30-34,Female,F,White,2106-3,90.0
Brain and Other Nervous System,31010-31040,2017,30-34 years,30-34,Male,M,White,2106-3,138.0
Brain and Other Nervous System,31010-31040,2017,35-39 years,35-39,Female,F,White,2106-3,115.0
Brain and Other Nervous System,31010-31040,2017,35-39 years,35-39,Male,M,Black or African American,2054-5,19.0
Brain and Other Nervous System,31010-31040,2017,35-39 years,35-39,Male,M,White,2106-3,193.0
Brain and Other Nervous System,31010-31040,2018,20-24 years,20-24,Female,F,White,2106-3,29.0
Brain and Other Nervous System,31010-31040,2018,20-24 years,20-24,Male,M,White,2106-3,57.0
Brain and Other Nervous System,31010-31040,2018,25-29 years,25-29,Female,F,White,2106-3,51.0
Brain and Other Nervous System,31010-31040,2018,25-29 years,25-29,Male,M,Black or African American,2054-5,24.0
Brain and Other Nervous System,31010-31040,2018,25-29 years,25-29,Male,M,White,2106-3,87.0
Brain and Other Nervous System,31010-31040,2018,30-34 years,30-34,Female,F,White,2106-3,97.0
Brain and Other Nervous System,31010-31040,2018,30-34 years,30-34,Male,M,White,2106-3,136.0
Brain and Other Nervous System,31010-31040,2018,35-39 years,35-39,Female,F,White,2106-3,105.0
Brain and Other Nervous System,31010-31040,2018,35-39 years,35-39,Male,M,Black or African American,2054-5,27.0
Brain and Other Nervous System,31010-31040,2018,35-39 years,35-39,Male,M,White,2106-3,205.0
Brain and Other Nervous System,31010-31040,2019,20-24 years,20-24,Female,F,White,2106-3,35.0
Brain and Other Nervous System,31010-31040,2019,20-24 years,20-24,Male,M,White,2106-3,43.0
Brain and Other Nervous System,31010-31040,2019,25-29 years,25-29,Female,F,White,2106-3,58.0
Brain and Other Nervous System,31010-31040,2019,25-29 years,25-29,Male,M,Black or African American,2054-5,19.0
Brain and Other Nervous System,31010-31040,2019,25-29 years,25-29,Male,M,White,2106-3,74.0
Brain and Other Nervous System,31010-31040,2019,30-34 years,30-34,Female,F,White,2106-3,71.0
Brain and Other Nervous System,31010-31040,2019,30-34 years,30-34,Male,M,Black or African American,2054-5,28.0
Brain and Other Nervous System,31010-31040,2019,30-34 years,30-34,Male,M,White,2106-3,123.0
Brain and Other Nervous System,31010-31040,2019,35-39 years,35-39,Female,F,White,2106-3,134.0
Brain and Other Nervous System,31010-31040,2019,35-39 years,35-39,Male,M,Black or African American,2054-5,21.0
Brain and Other Nervous System,31010-31040,2019,35-39 years,35-39,Male,M,White,2106-3,193.0
Brain and Other Nervous System,31010-31040,2020,20-24 years,20-24,Female,F,White,2106-3,37.0
Brain and Other Nervous System,31010-31040,2020,20-24 years,20-24,Male,M,White,2106-3,48.0
Brain and Other Nervous System,31010-31040,2020,25-29 years,25-29,Female,F,White,2106-3,52.0
Brain and Other Nervous System,31010-31040,2020,25-29 years,25-29,Male,M,White,2106-3,81.0
Brain and Other Nervous System,31010-31040,2020,30-34 years,30-34,Female,F,White,2106-3,79.0
Brain and Other Nervous System,31010-31040,2020,30-34 years,30-34,Male,M,White,2106-3,143.0
Brain and Other Nervous System,31010-31040,2020,35-39 years,35-39,Female,F,White,2106-3,111.0
Brain and Other Nervous System,31010-31040,2020,35-39 years,35-39,Male,M,Asian or Pacific Islander,A-PI,19.0
Brain and Other Nervous System,31010-31040,2020,35-39 years,35-39,Male,M,Black or African American,2054-5,22.0
Brain and Other Nervous System,31010-31040,2020,35-39 years,35-39,Male,M,White,2106-3,182.0
Brain and Other Nervous System,31010-31040,2021,20-24 years,20-24,Female,F,White,2106-3,41.0
Brain and Other Nervous System,31010-31040,2021,20-24 years,20-24,Male,M,White,2106-3,65.0
Brain and Other Nervous System,31010-31040,2021,25-29 years,25-29,Female,F,White,2106-3,52.0
Brain and Other Nervous System,31010-31040,2021,25-29 years,25-29,Male,M,White,2106-3,60.0
Brain and Other Nervous System,31010-31040,2021,30-34 years,30-34,Female,F,White,2106-3,87.0
Brain and Other Nervous System,31010-31040,2021,30-34 years,30-34,Male,M,White,2106-3,155.0
Brain and Other Nervous System,31010-31040,2021,35-39 years,35-39,Female,F,White,2106-3,132.0
Brain and Other Nervous System,31010-31040,2021,35-39 years,35-39,Male,M,Black or African American,2054-5,20.0
Brain and Other Nervous System,31010-31040,2021,35-39 years,35-39,Male,M,White,2106-3,172.0
Breast,26000,1999,25-29 years,25-29,Female,F,Black or African American,2054-5,25.0
Breast,26000,1999,25-29 years,25-29,Female,F,White,2106-3,59.0
Breast,26000,1999,30-34 years,30-34,Female,F,Black or African American,2054-5,100.0
Breast,26000,1999,30-34 years,30-34,Female,F,White,2106-3,243.0
Breast,26000,1999,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,22.0
Breast,26000,1999,35-39 years,35-39,Female,F,Black or African American,2054-5,255.0
Breast,26000,1999,35-39 years,35-39,Female,F,White,2106-3,700.0
Breast,26000,2000,25-29 years,25-29,Female,F,Black or African American,2054-5,18.0
Breast,26000,2000,25-29 years,25-29,Female,F,White,2106-3,60.0
Breast,26000,2000,30-34 years,30-34,Female,F,Black or African American,2054-5,103.0
Breast,26000,2000,30-34 years,30-34,Female,F,White,2106-3,264.0
Breast,26000,2000,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,34.0
Breast,26000,2000,35-39 years,35-39,Female,F,Black or African American,2054-5,224.0
Breast,26000,2000,35-39 years,35-39,Female,F,White,2106-3,709.0
Breast,26000,2001,25-29 years,25-29,Female,F,Black or African American,2054-5,30.0
Breast,26000,2001,25-29 years,25-29,Female,F,White,2106-3,58.0
Breast,26000,2001,30-34 years,30-34,Female,F,Black or African American,2054-5,111.0
Breast,26000,2001,30-34 years,30-34,Female,F,White,2106-3,247.0
Breast,26000,2001,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,32.0
Breast,26000,2001,35-39 years,35-39,Female,F,Black or African American,2054-5,221.0
Breast,26000,2001,35-39 years,35-39,Female,F,White,2106-3,693.0
Breast,26000,2002,25-29 years,25-29,Female,F,Black or African American,2054-5,22.0
Breast,26000,2002,25-29 years,25-29,Female,F,White,2106-3,38.0
Breast,26000,2002,30-34 years,30-34,Female,F,Black or African American,2054-5,102.0
Breast,26000,2002,30-34 years,30-34,Female,F,White,2106-3,245.0
Breast,26000,2002,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,26.0
Breast,26000,2002,35-39 years,35-39,Female,F,Black or African American,2054-5,232.0
Breast,26000,2002,35-39 years,35-39,Female,F,White,2106-3,632.0
Breast,26000,2003,25-29 years,25-29,Female,F,Black or African American,2054-5,23.0
Breast,26000,2003,25-29 years,25-29,Female,F,White,2106-3,27.0
Breast,26000,2003,30-34 years,30-34,Female,F,Black or African American,2054-5,95.0
Breast,26000,2003,30-34 years,30-34,Female,F,White,2106-3,241.0
Breast,26000,2003,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,28.0
Breast,26000,2003,35-39 years,35-39,Female,F,Black or African American,2054-5,227.0
Breast,26000,2003,35-39 years,35-39,Female,F,White,2106-3,651.0
Breast,26000,2004,25-29 years,25-29,Female,F,Black or African American,2054-5,25.0
Breast,26000,2004,25-29 years,25-29,Female,F,White,2106-3,47.0
Breast,26000,2004,30-34 years,30-34,Female,F,Black or African American,2054-5,90.0
Breast,26000,2004,30-34 years,30-34,Female,F,White,2106-3,216.0
Breast,26000,2004,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,24.0
Breast,26000,2004,35-39 years,35-39,Female,F,Black or African American,2054-5,223.0
Breast,26000,2004,35-39 years,35-39,Female,F,White,2106-3,568.0
Breast,26000,2005,25-29 years,25-29,Female,F,Black or African American,2054-5,23.0
Breast,26000,2005,25-29 years,25-29,Female,F,White,2106-3,47.0
Breast,26000,2005,30-34 years,30-34,Female,F,Black or African American,2054-5,80.0
Breast,26000,2005,30-34 years,30-34,Female,F,White,2106-3,188.0
Breast,26000,2005,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,30.0
Breast,26000,2005,35-39 years,35-39,Female,F,Black or African American,2054-5,215.0
Breast,26000,2005,35-39 years,35-39,Female,F,White,2106-3,553.0
Breast,26000,2006,25-29 years,25-29,Female,F,Black or African American,2054-5,23.0
Breast,26000,2006,25-29 years,25-29,Female,F,White,2106-3,46.0
Breast,26000,2006,30-34 years,30-34,Female,F,Black or African American,2054-5,85.0
Breast,26000,2006,30-34 years,30-34,Female,F,White,2106-3,196.0
Breast,26000,2006,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,25.0
Breast,26000,2006,35-39 years,35-39,Female,F,Black or African American,2054-5,210.0
Breast,26000,2006,35-39 years,35-39,Female,F,White,2106-3,550.0
Breast,26000,2007,25-29 years,25-29,Female,F,Black or African American,2054-5,25.0
Breast,26000,2007,25-29 years,25-29,Female,F,White,2106-3,39.0
Breast,26000,2007,30-34 years,30-34,Female,F,Black or African American,2054-5,82.0
Breast,26000,2007,30-34 years,30-34,Female,F,White,2106-3,179.0
Breast,26000,2007,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,26.0
Breast,26000,2007,35-39 years,35-39,Female,F,Black or African American,2054-5,192.0
Breast,26000,2007,35-39 years,35-39,Female,F,White,2106-3,515.0
Breast,26000,2008,25-29 years,25-29,Female,F,Black or African American,2054-5,18.0
Breast,26000,2008,25-29 years,25-29,Female,F,White,2106-3,48.0
Breast,26000,2008,30-34 years,30-34,Female,F,Black or African American,2054-5,72.0
Breast,26000,2008,30-34 years,30-34,Female,F,White,2106-3,180.0
Breast,26000,2008,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,30.0
Breast,26000,2008,35-39 years,35-39,Female,F,Black or African American,2054-5,204.0
Breast,26000,2008,35-39 years,35-39,Female,F,White,2106-3,485.0
Breast,26000,2009,25-29 years,25-29,Female,F,Black or African American,2054-5,27.0
Breast,26000,2009,25-29 years,25-29,Female,F,White,2106-3,49.0
Breast,26000,2009,30-34 years,30-34,Female,F,Black or African American,2054-5,81.0
Breast,26000,2009,30-34 years,30-34,Female,F,White,2106-3,179.0
Breast,26000,2009,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,26.0
Breast,26000,2009,35-39 years,35-39,Female,F,Black or African American,2054-5,158.0
Breast,26000,2009,35-39 years,35-39,Female,F,White,2106-3,510.0
Breast,26000,2010,25-29 years,25-29,Female,F,White,2106-3,47.0
Breast,26000,2010,30-34 years,30-34,Female,F,Black or African American,2054-5,75.0
Breast,26000,2010,30-34 years,30-34,Female,F,White,2106-3,166.0
Breast,26000,2010,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,23.0
Breast,26000,2010,35-39 years,35-39,Female,F,Black or African American,2054-5,188.0
Breast,26000,2010,35-39 years,35-39,Female,F,White,2106-3,419.0
Breast,26000,2011,25-29 years,25-29,Female,F,Black or African American,2054-5,26.0
Breast,26000,2011,25-29 years,25-29,Female,F,White,2106-3,47.0
Breast,26000,2011,30-34 years,30-34,Female,F,Black or African American,2054-5,86.0
Breast,26000,2011,30-34 years,30-34,Female,F,White,2106-3,179.0
Breast,26000,2011,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,36.0
Breast,26000,2011,35-39 years,35-39,Female,F,Black or African American,2054-5,167.0
Breast,26000,2011,35-39 years,35-39,Female,F,White,2106-3,476.0
Breast,26000,2012,25-29 years,25-29,Female,F,Black or African American,2054-5,21.0
Breast,26000,2012,25-29 years,25-29,Female,F,White,2106-3,39.0
Breast,26000,2012,30-34 years,30-34,Female,F,Black or African American,2054-5,95.0
Breast,26000,2012,30-34 years,30-34,Female,F,White,2106-3,182.0
Breast,26000,2012,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,40.0
Breast,26000,2012,35-39 years,35-39,Female,F,Black or African American,2054-5,153.0
Breast,26000,2012,35-39 years,35-39,Female,F,White,2106-3,416.0
Breast,26000,2013,25-29 years,25-29,Female,F,Black or African American,2054-5,21.0
Breast,26000,2013,25-29 years,25-29,Female,F,White,2106-3,51.0
Breast,26000,2013,30-34 years,30-34,Female,F,Black or African American,2054-5,80.0
Breast,26000,2013,30-34 years,30-34,Female,F,White,2106-3,186.0
Breast,26000,2013,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,24.0
Breast,26000,2013,35-39 years,35-39,Female,F,Black or African American,2054-5,148.0
Breast,26000,2013,35-39 years,35-39,Female,F,White,2106-3,435.0
Breast,26000,2014,25-29 years,25-29,Female,F,Black or African American,2054-5,25.0
Breast,26000,2014,25-29 years,25-29,Female,F,White,2106-3,50.0
Breast,26000,2014,30-34 years,30-34,Female,F,Black or African American,2054-5,69.0
