Leading Cancer Sites,Leading Cancer Sites Code,Year,Race,Race Code,Count
Brain and Other Nervous System,31010-31040,2012,Other Races and Unknown combined,2131-1,43.0
Brain and Other Nervous System,31010-31040,2013,American Indian or Alaska Native,1002-5,18.0
Brain and Other Nervous System,31010-31040,2013,Asian or Pacific Islander,A-PI,123.0
Brain and Other Nervous System,31010-31040,2013,Black or African American,2054-5,232.0
Brain and Other Nervous System,31010-31040,2013,White,2106-3,2275.0
Brain and Other Nervous System,31010-31040,2013,Other Races and Unknown combined,2131-1,44.0
Brain and Other Nervous System,31010-31040,2014,American Indian or Alaska Native,1002-5,28.0
Brain and Other Nervous System,31010-31040,2014,Asian or Pacific Islander,A-PI,118.0
Brain and Other Nervous System,31010-31040,2014,Black or African American,2054-5,281.0
Brain and Other Nervous System,31010-31040,2014,White,2106-3,2343.0
Brain and Other Nervous System,31010-31040,2014,Other Races and Unknown combined,2131-1,45.0
Brain and Other Nervous System,31010-31040,2015,American Indian or Alaska Native,1002-5,21.0
Brain and Other Nervous System,31010-31040,2015,Asian or Pacific Islander,A-PI,143.0
Brain and Other Nervous System,31010-31040,2015,Black or African American,2054-5,244.0
Brain and Other Nervous System,31010-31040,2015,White,2106-3,2322.0
Brain and Other Nervous System,31010-31040,2015,Other Races and Unknown combined,2131-1,42.0
Brain and Other Nervous System,31010-31040,2016,American Indian or Alaska Native,1002-5,24.0
Brain and Other Nervous System,31010-31040,2016,Asian or Pacific Islander,A-PI,133.0
Brain and Other Nervous System,31010-31040,2016,Black or African American,2054-5,263.0
Brain and Other Nervous System,31010-31040,2016,White,2106-3,2335.0
Brain and Other Nervous System,31010-31040,2016,Other Races and Unknown combined,2131-1,53.0
Brain and Other Nervous System,31010-31040,2017,American Indian or Alaska Native,1002-5,29.0
Brain and Other Nervous System,31010-31040,2017,Asian or Pacific Islander,A-PI,137.0
Brain and Other Nervous System,31010-31040,2017,Black or African American,2054-5,269.0
Brain and Other Nervous System,31010-31040,2017,White,2106-3,2301.0
Brain and Other Nervous System,31010-31040,2017,Other Races and Unknown combined,2131-1,53.0
Brain and Other Nervous System,31010-31040,2018,American Indian or Alaska Native,1002-5,23.0
Brain and Other Nervous System,31010-31040,2018,Asian or Pacific Islander,A-PI,112.0
Brain and Other Nervous System,31010-31040,2018,Black or African American,2054-5,265.0
Brain and Other Nervous System,31010-31040,2018,White,2106-3,2342.0
Brain and Other Nervous System,31010-31040,2018,Other Races and Unknown combined,2131-1,64.0
Brain and Other Nervous System,31010-31040,2019,American Indian or Alaska Native,1002-5,24.0
Brain and Other Nervous System,31010-31040,2019,Asian or Pacific Islander,A-PI,137.0
Brain and Other Nervous System,31010-31040,2019,Black or African American,2054-5,237.0
Brain and Other Nervous System,31010-31040,2019,White,2106-3,2336.0
Brain and Other Nervous System,31010-31040,2019,Other Races and Unknown combined,2131-1,82.0
Brain and Other Nervous System,31010-31040,2020,American Indian or Alaska Native,1002-5,24.0
Brain and Other Nervous System,31010-31040,2020,Asian or Pacific Islander,A-PI,159.0
Brain and Other Nervous System,31010-31040,2020,Black or African American,2054-5,233.0
Brain and Other Nervous System,31010-31040,2020,White,2106-3,2116.0
Brain and Other Nervous System,31010-31040,2020,Other Races and Unknown combined,2131-1,53.0
Brain and Other Nervous System,31010-31040,2021,American Indian or Alaska Native,1002-5,35.0
Brain and Other Nervous System,31010-31040,2021,Asian or Pacific Islander,A-PI,125.0
Brain and Other Nervous System,31010-31040,2021,Black or African American,2054-5,253.0
Brain and Other Nervous System,31010-31040,2021,White,2106-3,2088.0
Brain and Other Nervous System,31010-31040,2021,Other Races and Unknown combined,2131-1,84.0
Breast,26000,1999,American Indian or Alaska Native,1002-5,73.0
Breast,26000,1999,Asian or Pacific Islander,A-PI,416.0
Breast,26000,1999,Black or African American,2054-5,1747.0
Breast,26000,1999,White,2106-3,8467.0
Breast,26000,1999,Other Races and Unknown combined,2131-1,91.0
Breast,26000,2000,American Indian or Alaska Native,1002-5,61.0
Breast,26000,2000,Asian or Pacific Islander,A-PI,426.0
Breast,26000,2000,Black or African American,2054-5,1793.0
Breast,26000,2000,White,2106-3,8226.0
Breast,26000,2000,Other Races and Unknown combined,2131-1,84.0
Breast,26000,2001,American Indian or Alaska Native,1002-5,74.0
Breast,26000,2001,Asian or Pacific Islander,A-PI,515.0
Breast,26000,2001,Black or African American,2054-5,1707.0
Breast,26000,2001,White,2106-3,8346.0
Breast,26000,2001,Other Races and Unknown combined,2131-1,68.0
Breast,26000,2002,American Indian or Alaska Native,1002-5,65.0
Breast,26000,2002,Asian or Pacific Islander,A-PI,481.0
Breast,26000,2002,Black or African American,2054-5,1746.0
Breast,26000,2002,White,2106-3,7871.0
Breast,26000,2002,Other Races and Unknown combined,2131-1,81.0
Breast,26000,2003,American Indian or Alaska Native,1002-5,75.0
Breast,26000,2003,Asian or Pacific Islander,A-PI,501.0
Breast,26000,2003,Black or African American,2054-5,1732.0
Breast,26000,2003,White,2106-3,8003.0
Breast,26000,2003,Other Races and Unknown combined,2131-1,98.0
Breast,26000,2004,American Indian or Alaska Native,1002-5,81.0
Breast,26000,2004,Asian or Pacific Islander,A-PI,529.0
Breast,26000,2004,Black or African American,2054-5,1781.0
Breast,26000,2004,White,2106-3,7877.0
Breast,26000,2004,Other Races and Unknown combined,2131-1,82.0
Breast,26000,2005,American Indian or Alaska Native,1002-5,74.0
Breast,26000,2005,Asian or Pacific Islander,A-PI,557.0
Breast,26000,2005,Black or African American,2054-5,1768.0
Breast,26000,2005,White,2106-3,7690.0
Breast,26000,2005,Other Races and Unknown combined,2131-1,96.0
Breast,26000,2006,American Indian or Alaska Native,1002-5,65.0
Breast,26000,2006,Asian or Pacific Islander,A-PI,609.0
Breast,26000,2006,Black or African American,2054-5,1752.0
Breast,26000,2006,White,2106-3,7608.0
Breast,26000,2006,Other Races and Unknown combined,2131-1,101.0
Breast,26000,2007,American Indian or Alaska Native,1002-5,77.0
Breast,26000,2007,Asian or Pacific Islander,A-PI,557.0
Breast,26000,2007,Black or African American,2054-5,1738.0
Breast,26000,2007,White,2106-3,7650.0
Breast,26000,2007,Other Races and Unknown combined,2131-1,119.0
Breast,26000,2008,American Indian or Alaska Native,1002-5,67.0
Breast,26000,2008,Asian or Pacific Islander,A-PI,659.0
Breast,26000,2008,Black or African American,2054-5,1827.0
Breast,26000,2008,White,2106-3,7784.0
Breast,26000,2008,Other Races and Unknown combined,2131-1,110.0
Breast,26000,2009,American Indian or Alaska Native,1002-5,67.0
Breast,26000,2009,Asian or Pacific Islander,A-PI,653.0
Breast,26000,2009,Black or African American,2054-5,1857.0
Breast,26000,2009,White,2106-3,7669.0
Breast,26000,2009,Other Races and Unknown combined,2131-1,89.0
Breast,26000,2010,American Indian or Alaska Native,1002-5,84.0
Breast,26000,2010,Asian or Pacific Islander,A-PI,668.0
Breast,26000,2010,Black or African American,2054-5,1789.0
Breast,26000,2010,White,2106-3,7327.0
Breast,26000,2010,Other Races and Unknown combined,2131-1,106.0
Breast,26000,2011,American Indian or Alaska Native,1002-5,81.0
Breast,26000,2011,Asian or Pacific Islander,A-PI,734.0
Breast,26000,2011,Black or African American,2054-5,1775.0
Breast,26000,2011,White,2106-3,7416.0
Breast,26000,2011,Other Races and Unknown combined,2131-1,99.0
Breast,26000,2012,American Indian or Alaska Native,1002-5,75.0
Breast,26000,2012,Asian or Pacific Islander,A-PI,716.0
Breast,26000,2012,Black or African American,2054-5,1790.0
Breast,26000,2012,White,2106-3,7488.0
Breast,26000,2012,Other Races and Unknown combined,2131-1,138.0
Breast,26000,2013,American Indian or Alaska Native,1002-5,91.0
Breast,26000,2013,Asian or Pacific Islander,A-PI,769.0
Breast,26000,2013,Black or African American,2054-5,1848.0
Breast,26000,2013,White,2106-3,7741.0
Breast,26000,2013,Other Races and Unknown combined,2131-1,141.0
Breast,26000,2014,American Indian or Alaska Native,1002-5,96.0
Breast,26000,2014,Asian or Pacific Islander,A-PI,771.0
Breast,26000,2014,Black or African American,2054-5,1853.0
Breast,26000,2014,White,2106-3,7847.0
Breast,26000,2014,Other Races and Unknown combined,2131-1,144.0
Breast,26000,2015,American Indian or Alaska Native,1002-5,98.0
Breast,26000,2015,Asian or Pacific Islander,A-PI,801.0
Breast,26000,2015,Black or African American,2054-5,1902.0
Breast,26000,2015,White,2106-3,8083.0
Breast,26000,2015,Other Races and Unknown combined,2131-1,164.0
Breast,26000,2016,American Indian or Alaska Native,1002-5,94.0
Breast,26000,2016,Asian or Pacific Islander,A-PI,830.0
Breast,26000,2016,Black or African American,2054-5,2073.0
Breast,26000,2016,White,2106-3,8309.0
Breast,26000,2016,Other Races and Unknown combined,2131-1,188.0
Breast,26000,2017,American Indian or Alaska Native,1002-5,112.0
Breast,26000,2017,Asian or Pacific Islander,A-PI,812.0
Breast,26000,2017,Black or African American,2054-5,1967.0
Breast,26000,2017,White,2106-3,8336.0
Breast,26000,2017,Other Races and Unknown combined,2131-1,197.0
Breast,26000,2018,American Indian or Alaska Native,1002-5,88.0
Breast,26000,2018,Asian or Pacific Islander,A-PI,877.0
Breast,26000,2018,Black or African American,2054-5,1985.0
Breast,26000,2018,White,2106-3,8536.0
Breast,26000,2018,Other Races and Unknown combined,2131-1,197.0
Breast,26000,2019,American Indian or Alaska Native,1002-5,105.0
Breast,26000,2019,Asian or Pacific Islander,A-PI,902.0
Breast,26000,2019,Black or African American,2054-5,2114.0
Breast,26000,2019,White,2106-3,8768.0
Breast,26000,2019,Other Races and Unknown combined,2131-1,242.0
Breast,26000,2020,American Indian or Alaska Native,1002-5,88.0
Breast,26000,2020,Asian or Pacific Islander,A-PI,881.0
Breast,26000,2020,Black or African American,2054-5,2069.0
Breast,26000,2020,White,2106-3,8379.0
Breast,26000,2020,Other Races and Unknown combined,2131-1,300.0
Breast,26000,2021,American Indian or Alaska Native,1002-5,119.0
Breast,26000,2021,Asian or Pacific Islander,A-PI,1019.0
Breast,26000,2021,Black or African American,2054-5,2062.0
Breast,26000,2021,White,2106-3,8605.0
Breast,26000,2021,Other Races and Unknown combined,2131-1,325.0
Cervix Uteri,27010,1999,American Indian or Alaska Native,1002-5,43.0
Cervix Uteri,27010,1999,Asian or Pacific Islander,A-PI,81.0
Cervix Uteri,27010,1999,Black or African American,2054-5,530.0
Cervix Uteri,27010,1999,White,2106-3,3190.0
Cervix Uteri,27010,1999,Other Races and Unknown combined,2131-1,62.0
Cervix Uteri,27010,2000,American Indian or Alaska Native,1002-5,29.0
Cervix Uteri,27010,2000,Asian or Pacific Islander,A-PI,67.0
Cervix Uteri,27010,2000,Black or African American,2054-5,506.0
Cervix Uteri,27010,2000,White,2106-3,3126.0
Cervix Uteri,27010,2000,Other Races and Unknown combined,2131-1,64.0
Cervix Uteri,27010,2001,American Indian or Alaska Native,1002-5,42.0
Cervix Uteri,27010,2001,Asian or Pacific Islander,A-PI,101.0
Cervix Uteri,27010,2001,Black or African American,2054-5,447.0
Cervix Uteri,27010,2001,White,2106-3,2984.0
Cervix Uteri,27010,2001,Other Races and Unknown combined,2131-1,58.0
Cervix Uteri,27010,2002,American Indian or Alaska Native,1002-5,35.0
Cervix Uteri,27010,2002,Asian or Pacific Islander,A-PI,78.0
Cervix Uteri,27010,2002,Black or African American,2054-5,468.0
Cervix Uteri,27010,2002,White,2106-3,2859.0
Cervix Uteri,27010,2002,Other Races and Unknown combined,2131-1,57.0
Cervix Uteri,27010,2003,American Indian or Alaska Native,1002-5,27.0
Cervix Uteri,27010,2003,Asian or Pacific Islander,A-PI,102.0
Cervix Uteri,27010,2003,Black or African American,2054-5,489.0
Cervix Uteri,27010,2003,White,2106-3,2752.0
Cervix Uteri,27010,2003,Other Races and Unknown combined,2131-1,73.0
Cervix Uteri,27010,2004,American Indian or Alaska Native,1002-5,36.0
Cervix Uteri,27010,2004,Asian or Pacific Islander,A-PI,89.0
Cervix Uteri,27010,2004,Black or African American,2054-5,458.0
Cervix Uteri,27010,2004,White,2106-3,2723.0
Cervix Uteri,27010,2004,Other Races and Unknown combined,2131-1,48.0
Cervix Uteri,27010,2005,American Indian or Alaska Native,1002-5,33.0
Cervix Uteri,27010,2005,Asian or Pacific Islander,A-PI,94.0
Cervix Uteri,27010,2005,Black or African American,2054-5,416.0
Cervix Uteri,27010,2005,White,2106-3,2767.0
Cervix Uteri,27010,2005,Other Races and Unknown combined,2131-1,66.0
Cervix Uteri,27010,2006,American Indian or Alaska Native,1002-5,43.0
Cervix Uteri,27010,2006,Asian or Pacific Islander,A-PI,110.0
Cervix Uteri,27010,2006,Black or African American,2054-5,398.0
Cervix Uteri,27010,2006,White,2106-3,2694.0
Cervix Uteri,27010,2006,Other Races and Unknown combined,2131-1,65.0
Cervix Uteri,27010,2007,American Indian or Alaska Native,1002-5,34.0
Cervix Uteri,27010,2007,Asian or Pacific Islander,A-PI,99.0
Cervix Uteri,27010,2007,Black or African American,2054-5,420.0
Cervix Uteri,27010,2007,White,2106-3,2652.0
Cervix Uteri,27010,2007,Other Races and Unknown combined,2131-1,62.0
Cervix Uteri,27010,2008,American Indian or Alaska Native,1002-5,42.0
Cervix Uteri,27010,2008,Asian or Pacific Islander,A-PI,117.0
Cervix Uteri,27010,2008,Black or African American,2054-5,417.0
Cervix Uteri,27010,2008,White,2106-3,2654.0
Cervix Uteri,27010,2008,Other Races and Unknown combined,2131-1,57.0
Cervix Uteri,27010,2009,American Indian or Alaska Native,1002-5,57.0
Cervix Uteri,27010,2009,Asian or Pacific Islander,A-PI,112.0
Cervix Uteri,27010,2009,Black or African American,2054-5,432.0
Cervix Uteri,27010,2009,White,2106-3,2712.0
Cervix Uteri,27010,2009,Other Races and Unknown combined,2131-1,49.0
Cervix Uteri,27010,2010,American Indian or Alaska Native,1002-5,39.0
Cervix Uteri,27010,2010,Asian or Pacific Islander,A-PI,121.0
Cervix Uteri,27010,2010,Black or African American,2054-5,426.0
Cervix Uteri,27010,2010,White,2106-3,2443.0
Cervix Uteri,27010,2010,Other Races and Unknown combined,2131-1,65.0
Cervix Uteri,27010,2011,American Indian or Alaska Native,1002-5,47.0
Cervix Uteri,27010,2011,Asian or Pacific Islander,A-PI,113.0
Cervix Uteri,27010,2011,Black or African American,2054-5,372.0
Cervix Uteri,27010,2011,White,2106-3,2396.0
Cervix Uteri,27010,2011,Other Races and Unknown combined,2131-1,53.0
Cervix Uteri,27010,2012,American Indian or Alaska Native,1002-5,34.0
Cervix Uteri,27010,2012,Asian or Pacific Islander,A-PI,104.0
Cervix Uteri,27010,2012,Black or African American,2054-5,432.0
Cervix Uteri,27010,2012,White,2106-3,2383.0
Cervix Uteri,27010,2012,Other Races and Unknown combined,2131-1,56.0
Cervix Uteri,27010,2013,American Indian or Alaska Native,1002-5,34.0
Cervix Uteri,27010,2013,Asian or Pacific Islander,A-PI,121.0
Cervix Uteri,27010,2013,Black or African American,2054-5,417.0
Cervix Uteri,27010,2013,White,2106-3,2358.0
Cervix Uteri,27010,2013,Other Races and Unknown combined,2131-1,61.0
Cervix Uteri,27010,2014,American Indian or Alaska Native,1002-5,45.0
Cervix Uteri,27010,2014,Asian or Pacific Islander,A-PI,122.0
Cervix Uteri,27010,2014,Black or African American,2054-5,382.0
Cervix Uteri,27010,2014,White,2106-3,2545.0
Cervix Uteri,27010,2014,Other Races and Unknown combined,2131-1,68.0
Cervix Uteri,27010,2015,American Indian or Alaska Native,1002-5,48.0
Cervix Uteri,27010,2015,Asian or Pacific Islander,A-PI,123.0
Cervix Uteri,27010,2015,Black or African American,2054-5,417.0
Cervix Uteri,27010,2015,White,2106-3,2594.0
Cervix Uteri,27010,2015,Other Races and Unknown combined,2131-1,69.0
Cervix Uteri,27010,2016,American Indian or Alaska Native,1002-5,50.0
Cervix Uteri,27010,2016,Asian or Pacific Islander,A-PI,162.0
Cervix Uteri,27010,2016,Black or African American,2054-5,454.0
Cervix Uteri,27010,2016,White,2106-3,2747.0
Cervix Uteri,27010,2016,Other Races and Unknown combined,2131-1,82.0
Cervix Uteri,27010,2017,American Indian or Alaska Native,1002-5,51.0
Cervix Uteri,27010,2017,Asian or Pacific Islander,A-PI,146.0
Cervix Uteri,27010,2017,Black or African American,2054-5,439.0
Cervix Uteri,27010,2017,White,2106-3,2639.0
Cervix Uteri,27010,2017,Other Races and Unknown combined,2131-1,92.0
Cervix Uteri,27010,2018,American Indian or Alaska Native,1002-5,54.0
Cervix Uteri,27010,2018,Asian or Pacific Islander,A-PI,114.0
Cervix Uteri,27010,2018,Black or African American,2054-5,430.0
Cervix Uteri,27010,2018,White,2106-3,2662.0
Cervix Uteri,27010,2018,Other Races and Unknown combined,2131-1,102.0
Cervix Uteri,27010,2019,American Indian or Alaska Native,1002-5,51.0
Cervix Uteri,27010,2019,Asian or Pacific Islander,A-PI,155.0
Cervix Uteri,27010,2019,Black or African American,2054-5,451.0
Cervix Uteri,27010,2019,White,2106-3,2664.0
Cervix Uteri,27010,2019,Other Races and Unknown combined,2131-1,120.0
Cervix Uteri,27010,2020,American Indian or Alaska Native,1002-5,38.0
Cervix Uteri,27010,2020,Asian or Pacific Islander,A-PI,132.0
Cervix Uteri,27010,2020,Black or African American,2054-5,395.0
Cervix Uteri,27010,2020,White,2106-3,2314.0
Cervix Uteri,27010,2020,Other Races and Unknown combined,2131-1,107.0
Cervix Uteri,27010,2021,American Indian or Alaska Native,1002-5,44.0
Cervix Uteri,27010,2021,Asian or Pacific Islander,A-PI,167.0
Cervix Uteri,27010,2021,Black or African American,2054-5,384.0
Cervix Uteri,27010,2021,White,2106-3,2406.0
Cervix Uteri,27010,2021,Other Races and Unknown combined,2131-1,117.0
Colon and Rectum,21041-21052,1999,American Indian or Alaska Native,1002-5,16.0
Colon and Rectum,21041-21052,1999,Asian or Pacific Islander,A-PI,111.0
Colon and Rectum,21041-21052,1999,Black or African American,2054-5,508.0
Colon and Rectum,21041-21052,1999,White,2106-3,2287.0
Colon and Rectum,21041-21052,1999,Other Races and Unknown combined,2131-1,31.0
Colon and Rectum,21041-21052,2000,American Indian or Alaska Native,1002-5,27.0
Colon and Rectum,21041-21052,2000,Asian or Pacific Islander,A-PI,141.0
Colon and Rectum,21041-21052,2000,Black or African American,2054-5,447.0
Colon and Rectum,21041-21052,2000,White,2106-3,2396.0
Colon and Rectum,21041-21052,2000,Other Races and Unknown combined,2131-1,37.0
Colon and Rectum,21041-21052,2001,American Indian or Alaska Native,1002-5,32.0
Colon and Rectum,21041-21052,2001,Asian or Pacific Islander,A-PI,150.0
Colon and Rectum,21041-21052,2001,Black or African American,2054-5,452.0
Colon and Rectum,21041-21052,2001,White,2106-3,2443.0
Colon and Rectum,21041-21052,2001,Other Races and Unknown combined,2131-1,33.0
Colon and Rectum,21041-21052,2002,American Indian or Alaska Native,1002-5,31.0
Colon and Rectum,21041-21052,2002,Asian or Pacific Islander,A-PI,164.0
Colon and Rectum,21041-21052,2002,Black or African American,2054-5,434.0
Colon and Rectum,21041-21052,2002,White,2106-3,2524.0
Colon and Rectum,21041-21052,2002,Other Races and Unknown combined,2131-1,44.0
Colon and Rectum,21041-21052,2003,American Indian or Alaska Native,1002-5,36.0
Colon and Rectum,21041-21052,2003,Asian or Pacific Islander,A-PI,166.0
Colon and Rectum,21041-21052,2003,Black or African American,2054-5,446.0
Colon and Rectum,21041-21052,2003,White,2106-3,2557.0
Colon and Rectum,21041-21052,2003,Other Races and Unknown combined,2131-1,36.0
Colon and Rectum,21041-21052,2004,American Indian or Alaska Native,1002-5,29.0
Colon and Rectum,21041-21052,2004,Asian or Pacific Islander,A-PI,158.0
Colon and Rectum,21041-21052,2004,Black or African American,2054-5,471.0
Colon and Rectum,21041-21052,2004,White,2106-3,2651.0
Colon and Rectum,21041-21052,2004,Other Races and Unknown combined,2131-1,29.0
Colon and Rectum,21041-21052,2005,American Indian or Alaska Native,1002-5,31.0
Colon and Rectum,21041-21052,2005,Asian or Pacific Islander,A-PI,161.0
Colon and Rectum,21041-21052,2005,Black or African American,2054-5,480.0
Colon and Rectum,21041-21052,2005,White,2106-3,2538.0
Colon and Rectum,21041-21052,2005,Other Races and Unknown combined,2131-1,43.0
Colon and Rectum,21041-21052,2006,American Indian or Alaska Native,1002-5,36.0
Colon and Rectum,21041-21052,2006,Asian or Pacific Islander,A-PI,175.0
Colon and Rectum,21041-21052,2006,Black or African American,2054-5,538.0
Colon and Rectum,21041-21052,2006,White,2106-3,2699.0
Colon and Rectum,21041-21052,2006,Other Races and Unknown combined,2131-1,47.0
Colon and Rectum,21041-21052,2007,American Indian or Alaska Native,1002-5,45.0
Colon and Rectum,21041-21052,2007,Asian or Pacific Islander,A-PI,197.0
Colon and Rectum,21041-21052,2007,Black or African American,2054-5,540.0
Colon and Rectum,21041-21052,2007,White,2106-3,2602.0
Colon and Rectum,21041-21052,2007,Other Races and Unknown combined,2131-1,47.0
Colon and Rectum,21041-21052,2008,American Indian or Alaska Native,1002-5,38.0
Colon and Rectum,21041-21052,2008,Asian or Pacific Islander,A-PI,192.0
Colon and Rectum,21041-21052,2008,Black or African American,2054-5,528.0
Colon and Rectum,21041-21052,2008,White,2106-3,2770.0
Colon and Rectum,21041-21052,2008,Other Races and Unknown combined,2131-1,42.0
Colon and Rectum,21041-21052,2009,American Indian or Alaska Native,1002-5,38.0
Colon and Rectum,21041-21052,2009,Asian or Pacific Islander,A-PI,178.0
Colon and Rectum,21041-21052,2009,Black or African American,2054-5,506.0
Colon and Rectum,21041-21052,2009,White,2106-3,2757.0
Colon and Rectum,21041-21052,2009,Other Races and Unknown combined,2131-1,63.0
Colon and Rectum,21041-21052,2010,American Indian or Alaska Native,1002-5,45.0
Colon and Rectum,21041-21052,2010,Asian or Pacific Islander,A-PI,176.0
Colon and Rectum,21041-21052,2010,Black or African American,2054-5,520.0
Colon and Rectum,21041-21052,2010,White,2106-3,2866.0
Colon and Rectum,21041-21052,2010,Other Races and Unknown combined,2131-1,45.0
Colon and Rectum,21041-21052,2011,American Indian or Alaska Native,1002-5,31.0
Colon and Rectum,21041-21052,2011,Asian or Pacific Islander,A-PI,215.0
Colon and Rectum,21041-21052,2011,Black or African American,2054-5,552.0
Colon and Rectum,21041-21052,2011,White,2106-3,2798.0
Colon and Rectum,21041-21052,2011,Other Races and Unknown combined,2131-1,63.0
Colon and Rectum,21041-21052,2012,American Indian or Alaska Native,1002-5,41.0
Colon and Rectum,21041-21052,2012,Asian or Pacific Islander,A-PI,165.0
