Leading Cancer Sites,Leading Cancer Sites Code,Year,Age Groups,Age Groups Code,Sex,Sex Code,Race,Race Code,Count
Brain and Other Nervous System,31010-31040,2001,20-24 years,20-24,Male,M,White,2106-3,206.0
Brain and Other Nervous System,31010-31040,2001,25-29 years,25-29,Female,F,Black or African American,2054-5,21.0
Brain and Other Nervous System,31010-31040,2001,25-29 years,25-29,Female,F,White,2106-3,193.0
Brain and Other Nervous System,31010-31040,2001,25-29 years,25-29,Male,M,Black or African American,2054-5,34.0
Brain and Other Nervous System,31010-31040,2001,25-29 years,25-29,Male,M,White,2106-3,260.0
Brain and Other Nervous System,31010-31040,2001,30-34 years,30-34,Female,F,Black or African American,2054-5,20.0
Brain and Other Nervous System,31010-31040,2001,30-34 years,30-34,Female,F,White,2106-3,273.0
Brain and Other Nervous System,31010-31040,2001,30-34 years,30-34,Male,M,Black or African American,2054-5,28.0
Brain and Other Nervous System,31010-31040,2001,30-34 years,30-34,Male,M,White,2106-3,366.0
Brain and Other Nervous System,31010-31040,2001,35-39 years,35-39,Female,F,Black or African American,2054-5,27.0
Brain and Other Nervous System,31010-31040,2001,35-39 years,35-39,Female,F,White,2106-3,356.0
Brain and Other Nervous System,31010-31040,2001,35-39 years,35-39,Male,M,Black or African American,2054-5,25.0
Brain and Other Nervous System,31010-31040,2001,35-39 years,35-39,Male,M,White,2106-3,451.0
Brain and Other Nervous System,31010-31040,2002,20-24 years,20-24,Female,F,White,2106-3,152.0
Brain and Other Nervous System,31010-31040,2002,20-24 years,20-24,Male,M,Black or African American,2054-5,23.0
Brain and Other Nervous System,31010-31040,2002,20-24 years,20-24,Male,M,White,2106-3,232.0
Brain and Other Nervous System,31010-31040,2002,25-29 years,25-29,Female,F,Black or African American,2054-5,27.0
Brain and Other Nervous System,31010-31040,2002,25-29 years,25-29,Female,F,White,2106-3,231.0
Brain and Other Nervous System,31010-31040,2002,25-29 years,25-29,Male,M,Black or African American,2054-5,25.0
Brain and Other Nervous System,31010-31040,2002,25-29 years,25-29,Male,M,White,2106-3,277.0
Brain and Other Nervous System,31010-31040,2002,30-34 years,30-34,Female,F,Black or African American,2054-5,31.0
Brain and Other Nervous System,31010-31040,2002,30-34 years,30-34,Female,F,White,2106-3,268.0
Brain and Other Nervous System,31010-31040,2002,30-34 years,30-34,Male,M,Asian or Pacific Islander,A-PI,16.0
Brain and Other Nervous System,31010-31040,2002,30-34 years,30-34,Male,M,Black or African American,2054-5,31.0
Brain and Other Nervous System,31010-31040,2002,30-34 years,30-34,Male,M,White,2106-3,385.0
Brain and Other Nervous System,31010-31040,2002,35-39 years,35-39,Female,F,Black or African American,2054-5,23.0
Brain and Other Nervous System,31010-31040,2002,35-39 years,35-39,Female,F,White,2106-3,402.0
Brain and Other Nervous System,31010-31040,2002,35-39 years,35-39,Male,M,Asian or Pacific Islander,A-PI,16.0
Brain and Other Nervous System,31010-31040,2002,35-39 years,35-39,Male,M,Black or African American,2054-5,35.0
Brain and Other Nervous System,31010-31040,2002,35-39 years,35-39,Male,M,White,2106-3,426.0
Brain and Other Nervous System,31010-31040,2003,20-24 years,20-24,Female,F,Black or African American,2054-5,17.0
Brain and Other Nervous System,31010-31040,2003,20-24 years,20-24,Female,F,White,2106-3,191.0
Brain and Other Nervous System,31010-31040,2003,20-24 years,20-24,Male,M,Black or African American,2054-5,26.0
Brain and Other Nervous System,31010-31040,2003,20-24 years,20-24,Male,M,White,2106-3,263.0
Brain and Other Nervous System,31010-31040,2003,25-29 years,25-29,Female,F,Black or African American,2054-5,16.0
Brain and Other Nervous System,31010-31040,2003,25-29 years,25-29,Female,F,White,2106-3,219.0
Brain and Other Nervous System,31010-31040,2003,25-29 years,25-29,Male,M,Black or African American,2054-5,24.0
Brain and Other Nervous System,31010-31040,2003,25-29 years,25-29,Male,M,White,2106-3,266.0
Brain and Other Nervous System,31010-31040,2003,30-34 years,30-34,Female,F,Asian or Pacific Islander,A-PI,20.0
Brain and Other Nervous System,31010-31040,2003,30-34 years,30-34,Female,F,Black or African American,2054-5,26.0
Brain and Other Nervous System,31010-31040,2003,30-34 years,30-34,Female,F,White,2106-3,280.0
Brain and Other Nervous System,31010-31040,2003,30-34 years,30-34,Male,M,Black or African American,2054-5,28.0
Brain and Other Nervous System,31010-31040,2003,30-34 years,30-34,Male,M,White,2106-3,382.0
Brain and Other Nervous System,31010-31040,2003,35-39 years,35-39,Female,F,Black or African American,2054-5,30.0
Brain and Other Nervous System,31010-31040,2003,35-39 years,35-39,Female,F,White,2106-3,312.0
Brain and Other Nervous System,31010-31040,2003,35-39 years,35-39,Male,M,Black or African American,2054-5,47.0
Brain and Other Nervous System,31010-31040,2003,35-39 years,35-39,Male,M,White,2106-3,473.0
Brain and Other Nervous System,31010-31040,2004,20-24 years,20-24,Female,F,Black or African American,2054-5,22.0
Brain and Other Nervous System,31010-31040,2004,20-24 years,20-24,Female,F,White,2106-3,188.0
Brain and Other Nervous System,31010-31040,2004,20-24 years,20-24,Male,M,Black or African American,2054-5,31.0
Brain and Other Nervous System,31010-31040,2004,20-24 years,20-24,Male,M,White,2106-3,214.0
Brain and Other Nervous System,31010-31040,2004,25-29 years,25-29,Female,F,Black or African American,2054-5,25.0
Brain and Other Nervous System,31010-31040,2004,25-29 years,25-29,Female,F,White,2106-3,224.0
Brain and Other Nervous System,31010-31040,2004,25-29 years,25-29,Male,M,Asian or Pacific Islander,A-PI,16.0
Brain and Other Nervous System,31010-31040,2004,25-29 years,25-29,Male,M,Black or African American,2054-5,19.0
Brain and Other Nervous System,31010-31040,2004,25-29 years,25-29,Male,M,White,2106-3,322.0
Brain and Other Nervous System,31010-31040,2004,30-34 years,30-34,Female,F,Black or African American,2054-5,35.0
Brain and Other Nervous System,31010-31040,2004,30-34 years,30-34,Female,F,White,2106-3,293.0
Brain and Other Nervous System,31010-31040,2004,30-34 years,30-34,Male,M,Asian or Pacific Islander,A-PI,21.0
Brain and Other Nervous System,31010-31040,2004,30-34 years,30-34,Male,M,Black or African American,2054-5,22.0
Brain and Other Nervous System,31010-31040,2004,30-34 years,30-34,Male,M,White,2106-3,341.0
Brain and Other Nervous System,31010-31040,2004,35-39 years,35-39,Female,F,Black or African American,2054-5,35.0
Brain and Other Nervous System,31010-31040,2004,35-39 years,35-39,Female,F,White,2106-3,313.0
Brain and Other Nervous System,31010-31040,2004,35-39 years,35-39,Male,M,Black or African American,2054-5,40.0
Brain and Other Nervous System,31010-31040,2004,35-39 years,35-39,Male,M,White,2106-3,420.0
Brain and Other Nervous System,31010-31040,2005,20-24 years,20-24,Female,F,Black or African American,2054-5,20.0
Brain and Other Nervous System,31010-31040,2005,20-24 years,20-24,Female,F,White,2106-3,210.0
Brain and Other Nervous System,31010-31040,2005,20-24 years,20-24,Male,M,Black or African American,2054-5,24.0
Brain and Other Nervous System,31010-31040,2005,20-24 years,20-24,Male,M,White,2106-3,209.0
Brain and Other Nervous System,31010-31040,2005,25-29 years,25-29,Female,F,Black or African American,2054-5,29.0
Brain and Other Nervous System,31010-31040,2005,25-29 years,25-29,Female,F,White,2106-3,237.0
Brain and Other Nervous System,31010-31040,2005,25-29 years,25-29,Male,M,Black or African American,2054-5,26.0
Brain and Other Nervous System,31010-31040,2005,25-29 years,25-29,Male,M,White,2106-3,313.0
Brain and Other Nervous System,31010-31040,2005,30-34 years,30-34,Female,F,Black or African American,2054-5,17.0
Brain and Other Nervous System,31010-31040,2005,30-34 years,30-34,Female,F,White,2106-3,274.0
Brain and Other Nervous System,31010-31040,2005,30-34 years,30-34,Male,M,Black or African American,2054-5,23.0
Brain and Other Nervous System,31010-31040,2005,30-34 years,30-34,Male,M,White,2106-3,383.0
Brain and Other Nervous System,31010-31040,2005,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,16.0
Brain and Other Nervous System,31010-31040,2005,35-39 years,35-39,Female,F,Black or African American,2054-5,38.0
Brain and Other Nervous System,31010-31040,2005,35-39 years,35-39,Female,F,White,2106-3,308.0
Brain and Other Nervous System,31010-31040,2005,35-39 years,35-39,Male,M,Black or African American,2054-5,46.0
Brain and Other Nervous System,31010-31040,2005,35-39 years,35-39,Male,M,White,2106-3,441.0
Brain and Other Nervous System,31010-31040,2006,20-24 years,20-24,Female,F,Black or African American,2054-5,25.0
Brain and Other Nervous System,31010-31040,2006,20-24 years,20-24,Female,F,White,2106-3,210.0
Brain and Other Nervous System,31010-31040,2006,20-24 years,20-24,Male,M,Black or African American,2054-5,33.0
Brain and Other Nervous System,31010-31040,2006,20-24 years,20-24,Male,M,White,2106-3,230.0
Brain and Other Nervous System,31010-31040,2006,25-29 years,25-29,Female,F,Black or African American,2054-5,29.0
Brain and Other Nervous System,31010-31040,2006,25-29 years,25-29,Female,F,White,2106-3,234.0
Brain and Other Nervous System,31010-31040,2006,25-29 years,25-29,Male,M,Black or African American,2054-5,24.0
Brain and Other Nervous System,31010-31040,2006,25-29 years,25-29,Male,M,White,2106-3,316.0
Brain and Other Nervous System,31010-31040,2006,30-34 years,30-34,Female,F,Black or African American,2054-5,31.0
Brain and Other Nervous System,31010-31040,2006,30-34 years,30-34,Female,F,White,2106-3,259.0
Brain and Other Nervous System,31010-31040,2006,30-34 years,30-34,Male,M,Asian or Pacific Islander,A-PI,20.0
Brain and Other Nervous System,31010-31040,2006,30-34 years,30-34,Male,M,Black or African American,2054-5,27.0
Brain and Other Nervous System,31010-31040,2006,30-34 years,30-34,Male,M,White,2106-3,353.0
Brain and Other Nervous System,31010-31040,2006,35-39 years,35-39,Female,F,Black or African American,2054-5,29.0
Brain and Other Nervous System,31010-31040,2006,35-39 years,35-39,Female,F,White,2106-3,277.0
Brain and Other Nervous System,31010-31040,2006,35-39 years,35-39,Male,M,Black or African American,2054-5,45.0
Brain and Other Nervous System,31010-31040,2006,35-39 years,35-39,Male,M,White,2106-3,440.0
Brain and Other Nervous System,31010-31040,2007,20-24 years,20-24,Female,F,Black or African American,2054-5,25.0
Brain and Other Nervous System,31010-31040,2007,20-24 years,20-24,Female,F,White,2106-3,191.0
Brain and Other Nervous System,31010-31040,2007,20-24 years,20-24,Male,M,Black or African American,2054-5,24.0
Brain and Other Nervous System,31010-31040,2007,20-24 years,20-24,Male,M,White,2106-3,248.0
Brain and Other Nervous System,31010-31040,2007,25-29 years,25-29,Female,F,Black or African American,2054-5,36.0
Brain and Other Nervous System,31010-31040,2007,25-29 years,25-29,Female,F,White,2106-3,224.0
Brain and Other Nervous System,31010-31040,2007,25-29 years,25-29,Male,M,Black or African American,2054-5,38.0
Brain and Other Nervous System,31010-31040,2007,25-29 years,25-29,Male,M,White,2106-3,367.0
Brain and Other Nervous System,31010-31040,2007,30-34 years,30-34,Female,F,Black or African American,2054-5,23.0
Brain and Other Nervous System,31010-31040,2007,30-34 years,30-34,Female,F,White,2106-3,264.0
Brain and Other Nervous System,31010-31040,2007,30-34 years,30-34,Male,M,Asian or Pacific Islander,A-PI,16.0
Brain and Other Nervous System,31010-31040,2007,30-34 years,30-34,Male,M,Black or African American,2054-5,19.0
Brain and Other Nervous System,31010-31040,2007,30-34 years,30-34,Male,M,White,2106-3,345.0
Brain and Other Nervous System,31010-31040,2007,35-39 years,35-39,Female,F,Black or African American,2054-5,32.0
Brain and Other Nervous System,31010-31040,2007,35-39 years,35-39,Female,F,White,2106-3,304.0
Brain and Other Nervous System,31010-31040,2007,35-39 years,35-39,Male,M,Asian or Pacific Islander,A-PI,19.0
Brain and Other Nervous System,31010-31040,2007,35-39 years,35-39,Male,M,Black or African American,2054-5,39.0
Brain and Other Nervous System,31010-31040,2007,35-39 years,35-39,Male,M,White,2106-3,405.0
Brain and Other Nervous System,31010-31040,2008,20-24 years,20-24,Female,F,Black or African American,2054-5,24.0
Brain and Other Nervous System,31010-31040,2008,20-24 years,20-24,Female,F,White,2106-3,214.0
Brain and Other Nervous System,31010-31040,2008,20-24 years,20-24,Male,M,Black or African American,2054-5,26.0
Brain and Other Nervous System,31010-31040,2008,20-24 years,20-24,Male,M,White,2106-3,254.0
Brain and Other Nervous System,31010-31040,2008,25-29 years,25-29,Female,F,Asian or Pacific Islander,A-PI,19.0
Brain and Other Nervous System,31010-31040,2008,25-29 years,25-29,Female,F,Black or African American,2054-5,26.0
Brain and Other Nervous System,31010-31040,2008,25-29 years,25-29,Female,F,White,2106-3,235.0
Brain and Other Nervous System,31010-31040,2008,25-29 years,25-29,Male,M,Asian or Pacific Islander,A-PI,16.0
Brain and Other Nervous System,31010-31040,2008,25-29 years,25-29,Male,M,Black or African American,2054-5,17.0
Brain and Other Nervous System,31010-31040,2008,25-29 years,25-29,Male,M,White,2106-3,336.0
Brain and Other Nervous System,31010-31040,2008,30-34 years,30-34,Female,F,Black or African American,2054-5,22.0
Brain and Other Nervous System,31010-31040,2008,30-34 years,30-34,Female,F,White,2106-3,252.0
Brain and Other Nervous System,31010-31040,2008,30-34 years,30-34,Male,M,Asian or Pacific Islander,A-PI,20.0
Brain and Other Nervous System,31010-31040,2008,30-34 years,30-34,Male,M,Black or African American,2054-5,28.0
Brain and Other Nervous System,31010-31040,2008,30-34 years,30-34,Male,M,White,2106-3,342.0
Brain and Other Nervous System,31010-31040,2008,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,18.0
Brain and Other Nervous System,31010-31040,2008,35-39 years,35-39,Female,F,Black or African American,2054-5,32.0
Brain and Other Nervous System,31010-31040,2008,35-39 years,35-39,Female,F,White,2106-3,303.0
Brain and Other Nervous System,31010-31040,2008,35-39 years,35-39,Male,M,Asian or Pacific Islander,A-PI,19.0
Brain and Other Nervous System,31010-31040,2008,35-39 years,35-39,Male,M,Black or African American,2054-5,33.0
Brain and Other Nervous System,31010-31040,2008,35-39 years,35-39,Male,M,White,2106-3,394.0
Brain and Other Nervous System,31010-31040,2009,20-24 years,20-24,Female,F,Black or African American,2054-5,26.0
Brain and Other Nervous System,31010-31040,2009,20-24 years,20-24,Female,F,White,2106-3,173.0
Brain and Other Nervous System,31010-31040,2009,20-24 years,20-24,Male,M,Black or African American,2054-5,27.0
Brain and Other Nervous System,31010-31040,2009,20-24 years,20-24,Male,M,White,2106-3,252.0
Brain and Other Nervous System,31010-31040,2009,25-29 years,25-29,Female,F,Black or African American,2054-5,24.0
Brain and Other Nervous System,31010-31040,2009,25-29 years,25-29,Female,F,White,2106-3,299.0
Brain and Other Nervous System,31010-31040,2009,25-29 years,25-29,Male,M,Asian or Pacific Islander,A-PI,17.0
Brain and Other Nervous System,31010-31040,2009,25-29 years,25-29,Male,M,Black or African American,2054-5,22.0
Brain and Other Nervous System,31010-31040,2009,25-29 years,25-29,Male,M,White,2106-3,321.0
Brain and Other Nervous System,31010-31040,2009,30-34 years,30-34,Female,F,Black or African American,2054-5,32.0
Brain and Other Nervous System,31010-31040,2009,30-34 years,30-34,Female,F,White,2106-3,279.0
Brain and Other Nervous System,31010-31040,2009,30-34 years,30-34,Male,M,Asian or Pacific Islander,A-PI,20.0
Brain and Other Nervous System,31010-31040,2009,30-34 years,30-34,Male,M,Black or African American,2054-5,30.0
Brain and Other Nervous System,31010-31040,2009,30-34 years,30-34,Male,M,White,2106-3,354.0
Brain and Other Nervous System,31010-31040,2009,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,17.0
Brain and Other Nervous System,31010-31040,2009,35-39 years,35-39,Female,F,Black or African American,2054-5,33.0
Brain and Other Nervous System,31010-31040,2009,35-39 years,35-39,Female,F,White,2106-3,294.0
Brain and Other Nervous System,31010-31040,2009,35-39 years,35-39,Male,M,Asian or Pacific Islander,A-PI,19.0
Brain and Other Nervous System,31010-31040,2009,35-39 years,35-39,Male,M,Black or African American,2054-5,38.0
Brain and Other Nervous System,31010-31040,2009,35-39 years,35-39,Male,M,White,2106-3,399.0
Brain and Other Nervous System,31010-31040,2010,20-24 years,20-24,Female,F,Black or African American,2054-5,20.0
Brain and Other Nervous System,31010-31040,2010,20-24 years,20-24,Female,F,White,2106-3,180.0
Brain and Other Nervous System,31010-31040,2010,20-24 years,20-24,Male,M,Black or African American,2054-5,26.0
Brain and Other Nervous System,31010-31040,2010,20-24 years,20-24,Male,M,White,2106-3,237.0
Brain and Other Nervous System,31010-31040,2010,25-29 years,25-29,Female,F,Black or African American,2054-5,41.0
Brain and Other Nervous System,31010-31040,2010,25-29 years,25-29,Female,F,White,2106-3,240.0
Brain and Other Nervous System,31010-31040,2010,25-29 years,25-29,Male,M,Asian or Pacific Islander,A-PI,17.0
Brain and Other Nervous System,31010-31040,2010,25-29 years,25-29,Male,M,Black or African American,2054-5,28.0
Brain and Other Nervous System,31010-31040,2010,25-29 years,25-29,Male,M,White,2106-3,336.0
Brain and Other Nervous System,31010-31040,2010,30-34 years,30-34,Female,F,Black or African American,2054-5,33.0
Brain and Other Nervous System,31010-31040,2010,30-34 years,30-34,Female,F,White,2106-3,265.0
Brain and Other Nervous System,31010-31040,2010,30-34 years,30-34,Male,M,Asian or Pacific Islander,A-PI,20.0
Brain and Other Nervous System,31010-31040,2010,30-34 years,30-34,Male,M,Black or African American,2054-5,26.0
Brain and Other Nervous System,31010-31040,2010,30-34 years,30-34,Male,M,White,2106-3,364.0
Brain and Other Nervous System,31010-31040,2010,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,17.0
Brain and Other Nervous System,31010-31040,2010,35-39 years,35-39,Female,F,Black or African American,2054-5,23.0
Brain and Other Nervous System,31010-31040,2010,35-39 years,35-39,Female,F,White,2106-3,256.0
Brain and Other Nervous System,31010-31040,2010,35-39 years,35-39,Male,M,Asian or Pacific Islander,A-PI,30.0
Brain and Other Nervous System,31010-31040,2010,35-39 years,35-39,Male,M,Black or African American,2054-5,39.0
Brain and Other Nervous System,31010-31040,2010,35-39 years,35-39,Male,M,White,2106-3,422.0
Brain and Other Nervous System,31010-31040,2011,20-24 years,20-24,Female,F,Black or African American,2054-5,25.0
Brain and Other Nervous System,31010-31040,2011,20-24 years,20-24,Female,F,White,2106-3,208.0
Brain and Other Nervous System,31010-31040,2011,20-24 years,20-24,Male,M,Black or African American,2054-5,27.0
Brain and Other Nervous System,31010-31040,2011,20-24 years,20-24,Male,M,White,2106-3,249.0
Brain and Other Nervous System,31010-31040,2011,25-29 years,25-29,Female,F,Black or African American,2054-5,22.0
Brain and Other Nervous System,31010-31040,2011,25-29 years,25-29,Female,F,White,2106-3,235.0
Brain and Other Nervous System,31010-31040,2011,25-29 years,25-29,Male,M,Asian or Pacific Islander,A-PI,16.0
Brain and Other Nervous System,31010-31040,2011,25-29 years,25-29,Male,M,Black or African American,2054-5,17.0
Brain and Other Nervous System,31010-31040,2011,25-29 years,25-29,Male,M,White,2106-3,325.0
Brain and Other Nervous System,31010-31040,2011,30-34 years,30-34,Female,F,Asian or Pacific Islander,A-PI,18.0
Brain and Other Nervous System,31010-31040,2011,30-34 years,30-34,Female,F,Black or African American,2054-5,28.0
Brain and Other Nervous System,31010-31040,2011,30-34 years,30-34,Female,F,White,2106-3,243.0
Brain and Other Nervous System,31010-31040,2011,30-34 years,30-34,Male,M,Black or African American,2054-5,38.0
Brain and Other Nervous System,31010-31040,2011,30-34 years,30-34,Male,M,White,2106-3,403.0
Brain and Other Nervous System,31010-31040,2011,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,25.0
Brain and Other Nervous System,31010-31040,2011,35-39 years,35-39,Female,F,Black or African American,2054-5,32.0
Brain and Other Nervous System,31010-31040,2011,35-39 years,35-39,Female,F,White,2106-3,262.0
Brain and Other Nervous System,31010-31040,2011,35-39 years,35-39,Male,M,Asian or Pacific Islander,A-PI,18.0
Brain and Other Nervous System,31010-31040,2011,35-39 years,35-39,Male,M,Black or African American,2054-5,44.0
Brain and Other Nervous System,31010-31040,2011,35-39 years,35-39,Male,M,White,2106-3,377.0
Brain and Other Nervous System,31010-31040,2012,20-24 years,20-24,Female,F,Black or African American,2054-5,16.0
Brain and Other Nervous System,31010-31040,2012,20-24 years,20-24,Female,F,White,2106-3,211.0
Brain and Other Nervous System,31010-31040,2012,20-24 years,20-24,Male,M,Black or African American,2054-5,26.0
Brain and Other Nervous System,31010-31040,2012,20-24 years,20-24,Male,M,White,2106-3,240.0
Brain and Other Nervous System,31010-31040,2012,25-29 years,25-29,Female,F,Black or African American,2054-5,28.0
Brain and Other Nervous System,31010-31040,2012,25-29 years,25-29,Female,F,White,2106-3,264.0
Brain and Other Nervous System,31010-31040,2012,25-29 years,25-29,Male,M,Asian or Pacific Islander,A-PI,17.0
Brain and Other Nervous System,31010-31040,2012,25-29 years,25-29,Male,M,Black or African American,2054-5,25.0
Brain and Other Nervous System,31010-31040,2012,25-29 years,25-29,Male,M,White,2106-3,330.0
Brain and Other Nervous System,31010-31040,2012,30-34 years,30-34,Female,F,Black or African American,2054-5,34.0
Brain and Other Nervous System,31010-31040,2012,30-34 years,30-34,Female,F,White,2106-3,279.0
Brain and Other Nervous System,31010-31040,2012,30-34 years,30-34,Male,M,Asian or Pacific Islander,A-PI,18.0
Brain and Other Nervous System,31010-31040,2012,30-34 years,30-34,Male,M,Black or African American,2054-5,29.0
Brain and Other Nervous System,31010-31040,2012,30-34 years,30-34,Male,M,White,2106-3,360.0
Brain and Other Nervous System,31010-31040,2012,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,20.0
Brain and Other Nervous System,31010-31040,2012,35-39 years,35-39,Female,F,Black or African American,2054-5,37.0
Brain and Other Nervous System,31010-31040,2012,35-39 years,35-39,Female,F,White,2106-3,289.0
Brain and Other Nervous System,31010-31040,2012,35-39 years,35-39,Male,M,Asian or Pacific Islander,A-PI,24.0
Brain and Other Nervous System,31010-31040,2012,35-39 years,35-39,Male,M,Black or African American,2054-5,47.0
Brain and Other Nervous System,31010-31040,2012,35-39 years,35-39,Male,M,White,2106-3,345.0
Brain and Other Nervous System,31010-31040,2013,20-24 years,20-24,Female,F,Black or African American,2054-5,22.0
Brain and Other Nervous System,31010-31040,2013,20-24 years,20-24,Female,F,White,2106-3,224.0
Brain and Other Nervous System,31010-31040,2013,20-24 years,20-24,Male,M,Asian or Pacific Islander,A-PI,16.0
Brain and Other Nervous System,31010-31040,2013,20-24 years,20-24,Male,M,Black or African American,2054-5,19.0
Brain and Other Nervous System,31010-31040,2013,20-24 years,20-24,Male,M,White,2106-3,227.0
Brain and Other Nervous System,31010-31040,2013,25-29 years,25-29,Female,F,Black or African American,2054-5,22.0
Brain and Other Nervous System,31010-31040,2013,25-29 years,25-29,Female,F,White,2106-3,238.0
Brain and Other Nervous System,31010-31040,2013,25-29 years,25-29,Male,M,Asian or Pacific Islander,A-PI,22.0
Brain and Other Nervous System,31010-31040,2013,25-29 years,25-29,Male,M,Black or African American,2054-5,44.0
Brain and Other Nervous System,31010-31040,2013,25-29 years,25-29,Male,M,White,2106-3,288.0
Brain and Other Nervous System,31010-31040,2013,30-34 years,30-34,Female,F,Black or African American,2054-5,25.0
Brain and Other Nervous System,31010-31040,2013,30-34 years,30-34,Female,F,White,2106-3,293.0
Brain and Other Nervous System,31010-31040,2013,30-34 years,30-34,Male,M,Asian or Pacific Islander,A-PI,16.0
Brain and Other Nervous System,31010-31040,2013,30-34 years,30-34,Male,M,Black or African American,2054-5,29.0
Brain and Other Nervous System,31010-31040,2013,30-34 years,30-34,Male,M,White,2106-3,361.0
Brain and Other Nervous System,31010-31040,2013,35-39 years,35-39,Female,F,Asian or Pacific Islander,A-PI,17.0
Brain and Other Nervous System,31010-31040,2013,35-39 years,35-39,Female,F,Black or African American,2054-5,40.0
Brain and Other Nervous System,31010-31040,2013,35-39 years,35-39,Female,F,White,2106-3,265.0
Brain and Other Nervous System,31010-31040,2013,35-39 years,35-39,Male,M,Asian or Pacific Islander,A-PI,21.0
Brain and Other Nervous System,31010-31040,2013,35-39 years,35-39,Male,M,Black or African American,2054-5,31.0
Brain and Other Nervous System,31010-31040,2013,35-39 years,35-39,Male,M,White,2106-3,379.0
Brain and Other Nervous System,31010-31040,2014,20-24 years,20-24,Female,F,Black or African American,2054-5,21.0
Brain and Other Nervous System,31010-31040,2014,20-24 years,20-24,Female,F,White,2106-3,191.0
Brain and Other Nervous System,31010-31040,2014,20-24 years,20-24,Male,M,Black or African American,2054-5,36.0
Brain and Other Nervous System,31010-31040,2014,20-24 years,20-24,Male,M,White,2106-3,258.0
